feature,importance
location_premium_score,0.09518739
wine_item_price_avg,0.031921808
is_in_luxury_hotel,0.031252395
atmosphere__feels_romantic,0.029753104
parking__has_parking_valet,0.029040307
mention_score,0.026021691
rum_item_price_avg,0.022160389
brandy_item_count,0.02006798
host_hotel_star,0.01983699
beer_item_count,0.018934082
atmosphere__feels_upscale,0.018287493
other_item_price_avg,0.017897042
ratings,0.017443314
premium_place,0.016665723
picante_item_count,0.01597014
mojito_item_count,0.015493361
max_drink_price_avg,0.015088896
premium_density,0.014974465
cost_for_two_numeric,0.014799433
tequila_item_count,0.014714503
score,0.014336815
gin_item_count,0.014274774
brandy_item_price_avg,0.01423115
spirits_item_count,0.013947344
menu_richness,0.013338818
highlights__has_bar_games,0.013284917
total_item_count,0.013203998
whisky_item_price_avg,0.012680304
tequila_item_price_avg,0.012594358
mojito_item_price_avg,0.012349366
vodka_item_price_avg,0.012262106
martini_item_count,0.01197225
other_cocktails_item_count,0.011935669
premium_brand_count_input,0.011700272
martini_item_price_avg,0.011612732
max_price_across_categories,0.011549648
premium_brand_score,0.011101096
picante_item_price_avg,0.010824817
offerings__has_private_dining_room,0.010637705
gin_item_price_avg,0.0104952045
avg_price_across_categories,0.01042209
mezcal_item_count,0.010122229
planning__requires_reservations,0.009884543
old_fashioned_item_price_avg,0.009703045
other_cocktails_item_price_avg,0.009334194
offerings__serves_wine,0.009206032
typical_time_spent,0.0090761045
highlights__has_karaoke_nights,0.009063513
rum_item_count,0.008782085
wbi,0.008771376
vodka_item_count,0.008748608
offerings__serves_late_night_food,0.008740645
wine_item_count,0.00850703
drink_category_count,0.008474396
offerings__serves_happy_hour_food,0.008348825
highlights__has_seating_rooftop,0.008121392
atmosphere__feels_quiet,0.008091837
atmosphere__feels_casual,0.008041255
reviews_count,0.008028701
whisky_item_count,0.008021567
beer_item_price_avg,0.007873016
planning__recommends_reservations_lunch,0.007680562
old_fashioned_item_count,0.007591135
planning__recommends_reservations_brunch,0.0073712277
offerings__serves_happy_hour_drinks,0.007115167
highlights__has_live_music,0.0070717046
has_domain,0.0069158403
atmosphere__feels_hip,0.0064101317
other_item_count,0.0060639633
atmosphere__feels_cozy,0.005509155
amenities__has_bar_onsite,0.005358318
offerings__has_dancing,0.0049689356
planning__recommends_reservations_dinner,0.00487592
planning__accepts_reservations,0.0030121554
premium_spirit_flag,0.0008494875
michelin_star,0.0
mezcal_item_price_avg,0.0
absinthe_item_price_avg,0.0
soju_item_price_avg,0.0
absinthe_item_count,0.0
soju_item_count,0.0
spirits_item_price_avg,0.0
offerings__serves_liquor,0.0
atmosphere__is_recently_popular,0.0
highlights__has_fast_service,0.0
30 Best Bars,0.0
Asia's Best 50,0.0
CN traveler,0.0
