 mentions,poi_code
 30 Best Bars,0x3be7c93af994a663:0x25357c252a027c10
 30 Best Bars,0x3be7ce8c350898ed:0x664c7200a24a00a9
 Asia's Best 50,0x3be7d1c137810ea3:0x21384737f2ec91e2
 Asia's Best 50,0x3be7ce8c350898ed:0x664c7200a24a00a9
 CN traveler,0x3be7d1c137810ea3:0x21384737f2ec91e2
 CN traveler,0x3be7ce8c350898ed:0x664c7200a24a00a9
 CN traveler ,0x3be7c93af994a663:0x25357c252a027c10
 CN traveler  ,0x3be7c8c2c010b011:0xf8ee113451af419a
 CN traveler,0x3be7c91da0342953:0x785236e16e55c891
 CN traveler,0x3be7c909e9d4d267:0x1c035054ddb23d00
 CN traveler,0x3be7c9702115ae93:0x358f35bea2f5b2e9
