url_hash,cost_for_two
4c03feb80bd15cb28688b7d27b67afddafb894ab,"₹5,000 for two"
b9d54152a504aee8e4fd39f691cb1e838fd5326b,"₹1,100 for two"
600c9bffe5905875abd31309a120258063de5af1,"₹1,800 for two"
dc8af4d643adf35a8cb6f895986579999265fc42,₹500 for two
5b02e894bcd3e9f2d28c0e606b633fa47c3898f8,"₹1,700 for two"
8a4a05e9aa45a5cc12f030562980105a045839f4,₹350 for two
,
731905724a4fbc80615301fe377167b8d182fbc6,"₹3,500 for two"
9ea25b2fa3d24568687ab34a962894a30a118fdc,"₹1,400 for two"
932679f7edca46ed76b81bdbe10c054b51fb0929,₹400 for two
7359d53a7e0c3a978ad2da9982ea6f41417701c0,₹600 for two
35ced3e4f919a8e3ac2ed304a1e04202904b02c8,"₹1,700 for two"
7f1f1199e42ece98054be7ccc91d1fb8a8b9c1a3,"₹1,500 for two"
2ae74ad746ddc2377367ee0f4a3c81351eff0717,"₹3,000 for two"
7c60e6c630e3e722bac50b213ec5682b77e2e074,"₹1,900 for two"
ac5ae66319b622bc0b4b50e9791b21571768e999,"₹2,200 for two"
8342eb65e4e380ebe26502422363e0082cc49d55,₹850 for two
eceaebae7963fbcb612b10719b88a0f71fbf4ccc,"₹1,000 for two"
edf85a03093bd82ff1fffe5bba266be98f0edcbb,₹500 for two
583f2eac427978f1c4b288ea83b495fcd472e092,₹350 for two
2ad532d8f7f75d10641e3bb47ec0388c4550ea10,"₹1,900 for two"
c472550bdd70aa3b69be331dfe9817f617d14ef3,₹500 for two
89a4f47a7fef1c773dbb9d9f1a5aeb3a14522466,₹200 for two
60888bb9b66b1d36998dba3501583f2633a21a3c,"₹2,000 for two"
8fa67d853848bdfff5aca6eb999e8988c53a295e,"₹2,000 for two"
01e7789f4677c62b904c805eaebc3e3923271c2a,₹450 for two
40672d717560e501dd4be6c174e0c91c65f019a5,₹400 for two
f327440542e3e8d306958a25f11d59e4e5970c8e,"₹2,400 for two"
99c4b910c0694d6b4192c08025dcc50267ce8eca,"₹3,000 for two"
bb9f78882178b9fd674ea57a1c65ddc17b9d5ba3,₹600 for two
8503249b2ca5045c0c6a538998e7cb15d7623e54,"₹3,000 for two"
6776cb78f80639370b18c43e12c6e5a716465bc9,₹500 for two
7038c59c2312b6933de468a8b5d259327738121a,"₹1,200 for two"
37da4ccb01bf2d6e6948d30758423530199cca3e,₹300 for two
9769984dd544e41f011cb8fdbc93f8c9490c4245,"₹1,200 for two"
34dceb071fe019209359be59237734d7e6e0caf5,"₹1,500 for two"
b5d415ab57c5322a4c511cc836f0164d4599deea,₹400 for two
ed5efa5b1ee09851030857fc390bf527b478d72b,₹800 for two
5d42459017ed44ae906945c7c1956e39dece23b4,₹300 for two
2736c2a77e542bba03e5d2756f0f66e66f2679a1,₹200 for two
e3bfac8bc215af3d901506cf8f44888b92935054,"₹1,100 for two"
ed1cbab9a5351581cefd71bcbab09741f8dc7efb,"₹1,200 for two"
b8715c5ed2412f79664e6a286506c7e94cbe2fc1,"₹1,100 for two"
c8ba290004559829bdbd09b4dcefd14fb28dd6f2,"₹1,600 for two"
a114ef4aff47f83316cfd0a54f81baf10514cf35,"₹2,700 for two"
d0d201136e675e77055f24fb69bf76009fa45112,₹800 for two
401ad945caa1a7bcdd839185734bbffda147f776,₹400 for two
0c52e82e3c567f8a95491e0c87dbc16dd836adf0,"₹3,000 for two"
3d9b33bc8f4b0fa0d18ee9c6020f2c4e28809c3d,₹350 for two
cdc3facf617df0a40abb6a5c8394fdec091aeb72,"₹1,400 for two"
1c3d8d984f3a7779387a1738f5796a32c373082e,"₹1,100 for two"
e475b28b9ad30df53ba1e652fbe316f625399557,₹350 for two
c34bc3a9cdbf34da21d5478839b0d4208e14fffd,"₹1,500 for two"
4eb12ef36d0dde0a9b71416e91ad6ddfe5f403ad,"₹2,200 for two"
8344ee0f264c4f3cdfbe8aff57337e5a5300ce8e,₹250 for two
c840e7a9a0d3f186e8588304076a35ad15764396,₹950 for two
02751b332f171355b457879be4a04d84b6176f42,₹900 for two
e6808d018d84335f00c9736faa79c65b7d101a76,₹250 for two
4616ba04777761215bc34bb8959cc247599a67bd,"₹4,500 for two"
5afbde4d3d20591c8433bb5d66d0cf0e1b6b27e7,₹500 for two
c873f6586dcb87134964f79cfc151fdc1d8bc057,"₹2,000 for two"
c8df3a04d182eb73575ab154622e72c33dd7c989,"₹1,600 for two"
0f1c3b07bc319a397471392b7220eef6f18d2c37,₹600 for two
f20957a073e31b7039aed0763f9e2082832d5945,"₹1,200 for two"
a2410b3ab54392a386fb8c862d312d416bb863c3,₹500 for two
4ac620e07f820a489a8666932696b64ae1236837,"₹1,600 for two"
1ca6a8a7bd80b5f920e3922424a47a32dfc78f2d,"₹2,000 for two"
93d85da2eb77be4de27094cae20a948bbef8f2ff,"₹7,000 for two"
34b6c41813fdbd4a5213127ecd928115f0496162,₹500 for two
7aac0fdd229d9b51d2ca90b6f0cf3944f63216b2,₹500 for two
8a0842ea608862739ba141b1bb4927079b0c9adb,₹950 for two
503bb985d08b4ba25ac295c4f1a1f44e8b54f263,"₹1,000 for two"
ecf431fd98d67b05016894df2f33adf306c481ed,"₹2,300 for two"
1f05caeddd519eb8e55faaa03b79174d633521a1,₹600 for two
6fb616e0deeb4bae1e0fc1c387b66e1bda55a66d,"₹1,700 for two"
b248b7f39f09878d30854f8e9cc35a227decd876,₹300 for two
5ff09fba3aed89f0420b6651917aa1a94f62e809,"₹2,800 for two"
8fd80d5d884d20b9e3e10156da260623323505bf,"₹3,500 for two"
d973dc53a583cff5e38c7a207c5369233e4401fe,"₹1,300 for two"
2e23558df1455e75eeebea8089d545a135ca9649,"₹1,000 for two"
b66a1db4917fbe94371dbaf7b90b815f69451f4e,"₹2,700 for two"
84f9b315a817ca99d59e1fad6530660568f8ee4d,"₹1,500 for two"
c4f85c278fbffda4b6fc66f8a4f912b209460202,₹400 for two
f73736913ed40cbf8383d51acff9ec411cff5ac8,₹500 for two
a9f89ca25be751a9b4e4815be3eccad9cda4c882,₹500 for two
288ccbf46c0c1eca173892bcdf60082c109a04c0,"₹2,000 for two"
f2fa9cdea317b855b7a3be008c82b70ba36f0257,₹600 for two
1d93162d3e91143296cde85e442ba8fc53e7d697,"₹2,800 for two"
9ec43b740b7a56bd98a3a111185168fdae7ea1e6,"₹1,400 for two"
feee18b59df8cf36a30f8c34076bce7b0317be45,₹700 for two
daed7acd39b2e71a5679d93222735a274964b0f2,₹950 for two
ad550c667966a857f6db3eed5adab81a0f244f1c,"₹2,800 for two"
0f1a0148d971eb93e5dabecf8a8d11f0805583c9,"₹1,000 for two"
bda484acf2ccd9fc812c2a1e250dd6e192feadcf,"₹1,200 for two"
51186176def191dc96e67a11319a2ebd87ac669d,"₹1,400 for two"
b49619f4435e8b9c5e11fe5da321e6b8ab078d08,"₹1,500 for two"
f716814ffe9ef52d5e99f5846010a44fb6230cb2,₹300 for two
9aa86962ae6e426fca2ca7f0e0c5437f91099277,"₹3,000 for two"
2b529b35820c691e6d2a95517c28d3ae1f9d86ef,₹350 for two
ab15e35f41fb034fb8c556dafe2ffbe4e3ed1217,₹600 for two
137ff66fb95738a4b7701f9046c41a8574b0aba2,₹300 for two
985e9611b7efc9d13ca447d6eef4e0d3b475b3b9,"₹1,200 for two"
ce091441b3eb953627f91be35f9c6fb5ef88da3c,₹400 for two
ef932647a0a5855cdc24c98d05cb541c835ee590,₹200 for two
3fcd0642823bc1f851e20d8840f4a6a99b62f77d,₹300 for two
a83fcd604074a21412ab8e29acc1c0749857e014,₹200 for two
14a3f90202e3b874f5ed81e88a3bb808ee8e6376,₹200 for two
64e23d26fcf9f0302a6a69763ae8150503ce5fd3,₹300 for two
daa000c59110dfe808a0124998d737fc90d89a7a,₹500 for two
6be7e7b881b6c6c74275ad462e8975a15a9fac89,"₹1,800 for two"
0c6c40bedb86944a2eabb929e17592799e686011,"₹3,200 for two"
18639c56dfcf2b5077dd368b8eed7ed7143ecad0,₹350 for two
213bfbf8ee46b42deece753ab08f1ff4ddd6cb0d,"₹1,000 for two"
79f73bf809b23be06730ccf1935f79e1c7583d3e,"₹1,700 for two"
3389a1ed3cba25532271a12d473414590f62b779,₹300 for two
b4f39ab8217ea9fd536d9b8556e93fb7ce9fe43e,"₹1,400 for two"
84b62375f052901a7ede6a6d2ecc3c05414929eb,₹250 for two
f1241edee7bd85468196473e956ba552aa939fa5,₹300 for two
75679c6c17c747097c712ba2da063e2df30b0a5b,₹500 for two
2ba5c8000ea70e95137a2608ad8adcebee22994c,₹700 for two
0cf99ffb81139c605b986f84a7b41ef7f743cc84,₹550 for two
48bc8197acb1b5a18d106c5d2abe7c354435ab25,₹200 for two
d024561bf6a6c79a60e470c17e1fd519c6a3ec69,₹500 for two
49eb7ff188ce01c79817220354816c8d419e499d,"₹1,500 for two"
a92c116a2c4c95af329f2fe2f16ab91d60cbe915,"₹2,200 for two"
9338cd1703f1dd6029d66826cf9ea60c153e873c,₹400 for two
c809602ad0576514d6c311c980d826adb1d566a8,"₹1,600 for two"
4d1e52527fd2fa403761ff1f3228edd757e656a1,₹600 for two
48188bd9d4ccab26179ca8ac2c2452a35c73c4b3,₹350 for two
9f3bc7a5f6179536a2f829d8967d97d01dd619c6,"₹2,500 for two"
d32ec81a8d65a17ba638eb6846dc5792bd913901,"₹1,200 for two"
3e99d25e12ab94b5dfe9b6c2580f62a26015ec50,₹950 for two
65f9a8d05f2caea711c6bf5fda34f41ed32dc740,₹450 for two
f867cc01356b660307208925ae07229f16096318,₹300 for two
fb45ea7ea7b3ad06e9e4fce48dda2d41147a9028,"₹1,500 for two"
e861a67fa2cf9b209b9f4534f69bc1a7f84c0c19,"₹1,100 for two"
9d8e3c2beb8ee521d23c09d4dd25bb62bfb6af11,"₹1,700 for two"
b7598d705ec095a1bb0f97ff6ffedecc25d88fdf,"₹1,500 for two"
6a920ccf5b0aa35d0d9afc4f7177c52a66bc50a7,₹400 for two
4c3b6a43a0b6a0d2ddc5eafc171bbd16b649c1c4,₹550 for two
7c9ea4a5e4365d0ee6c5ebd33f11f55a99f4a841,"₹5,000 for two"
131e51bb163583ba72eead011389c4710bae4a4d,₹350 for two
39f3aac1ef24f108a04e33c0828586b97388a2e2,₹600 for two
d473c0005c5db40a15a05b84146865eac8f95f29,"₹1,000 for two"
cd36c67e2d9ca45e9a06543006ee15419d0fe341,"₹5,000 for two"
f062702d23b2ffc823870530d3fe16fc5289c2e0,₹500 for two
b5c95da6b27943c2758a004d6638a4bbee40a82f,"₹1,100 for two"
7b08655eba67a8d1ffcb161dec9f9c1572bec4db,"₹1,000 for two"
dc06d3f9e57a9de6a229703b01a8120b9ea5a5b2,"₹2,500 for two"
40f39379451c640ab1531ea9731bd91392769f35,"₹6,000 for two"
f61f4289340ee2debd0b7f75e7bb8a82e135a8d3,"₹1,000 for two"
3f316e7c1ec74aaf7fed1ceebd2f1f74f1ec57e2,₹300 for two
e679786da22e6f60e2b2c049d022d952e4ab1bcd,"₹5,100 for two"
3d85ca9c63ba7d55eaa2333c648abf5c07d471dc,"₹1,600 for two"
6848e1c4c39dbb91ce02244ad06deb4f0624886d,₹400 for two
6e58815b4c663dc85dda3fd35c5a8dd19fb02ef9,₹350 for two
9ad99311481b518618b376d889ea818d90e6c922,"₹5,000 for two"
10f1d0e9033f995b488347adb4ac0224a90e1189,"₹1,200 for two"
7472164c3cfa9937afe3356f3a8e1a4086adbd92,"₹10,000 for two"
f804d09174dea5b751d5a29fba88837abf598e58,₹850 for two
e7d61ca806f0cb949f060a81a8488898f533d9a0,₹200 for two
aef70045684127380c00c472ad4d64d3cd980279,"₹2,600 for two"
08fc3fdbeb85eb22ba41d9faddca7b1bb13663de,"₹1,400 for two"
2713e135d54976d145f9d5d2efd0dffa155fe19b,₹300 for two
4c721c9cda5063007c6162078687a4ccbb3d9c57,₹250 for two
3f40db2c6b145ccc1815b61382faebdd389318c3,₹300 for two
8cabf3d02022fa5f419c654fb1d471538c6f8e9c,"₹2,500 for two"
fe028e6cdfbee61bea721eaa8defb25f0bfb67bb,₹250 for two
286c1d7ac323cf5c286f6043dd47f3da03711b91,₹300 for two
ba2292bed56862a6a6138917a92219ce90d4f6da,₹800 for two
7b44f4a4d2f9e56ebdd7e9ef23b5d312add7dcdf,₹300 for two
a90d15bb64bc45c208668d0bcc2ed0ebd681fb34,"₹1,700 for two"
bb8f7daed27647c8509abed8dd28d416312f09a7,"₹1,200 for two"
75b0447094b2a42f9217f8c0ea9abf12590058e0,₹400 for two
218e0404bed643dcdc681718eb5553d27fc9d684,₹500 for two
940c82ef9c7fba7bdc946e613bdfcbd6d79a9dfb,"₹2,800 for two"
22f1eb382936b59261df8fe45b2661a3f89cea50,₹350 for two
481e181fdbaea1ce6f56f0db7d795271b0b57e0c,₹950 for two
e4ee5a904404deb63cc8a3c5dc3b17c6555868c7,"₹1,700 for two"
1684c73993b186b0f4bb4cdfc15520ef8b8278b4,₹400 for two
4f906b4fe7469d3004ed5ebd6ceb4e2fe0f5aa60,₹400 for two
2b943ddfe6699de991b1224a98377264720d3c0c,₹350 for two
7fc412effaf25279d792cc5ff1ecc7c1b683210e,"₹1,400 for two"
0fe96dda9156e6ca5aa73a032e43b51d3ae813ec,₹400 for two
b1c369b64251b8c91333092386ee2f7582b64431,₹200 for two
b9e6b6aeeb2c266cd9eb4ee0c1b11c5f6d9dce87,₹400 for two
555a1dfdbc92e6079ffbf99b515c511eaeeaee26,₹500 for two
18e273c6e026d91dc99c7dd966e395bab58d5f2f,₹850 for two
207d8b14ec53c0602f7c9e0b33123bd2b77be46b,₹300 for two
fc888d315d520d960f4910df2794f585f5e0317a,₹500 for two
79f59ae8b76252b32507783daa172607e7374723,"₹2,300 for two"
23f52f7daf133a780a24925482526ff597d37f49,"₹1,500 for two"
c572c16281eeb92d9d42cffec19eea03850a24a5,"₹1,400 for two"
49593f6115143ec641e208feea2d3c1f5637d490,₹900 for two
1908f2d475f9a6a14525cb9a42864ddff985fb05,₹900 for two
1eff34ba5d985937709f363d1458d415446ff310,"₹1,100 for two"
ff0510c599d34b63a12feb06453a3f59105b8cee,"₹4,500 for two"
6f1e1089fb7611a76f4b132dcd6e507bb6e6f3e4,"₹1,000 for two"
77c4d8f58a973bd0d18f77edd9706c3ef673b764,"₹1,100 for two"
45cc6b8ab17abafd360341d85b093ca6f705f232,"₹4,000 for two"
ff56f5d3519065603a069b60a6cb34beada0874e,"₹4,500 for two"
f121d0efe1d14deb19ce0f2172169bc080db63c0,"₹4,500 for two"
adcbcf6f44a83c22b335333604cdfc0ad2dad5fd,"₹1,500 for two"
504a81064b3a15778cd5751160fa815972c5bd24,"₹2,000 for two"
0765fb1c60602fe4cf2791e77313d07c4b8fab29,₹500 for two
08dfecd4af3f05bb9987436d82be4d3c39010ac1,"₹1,300 for two"
1f2b6f06c833b5ecbca0bc712db43091e9912aa2,"₹1,500 for two"
8b998b97f971c625a8df0b8412f345ca740b362f,"₹4,500 for two"
0f083d86e0c4015987581dc3cf3ec99c15f80393,₹350 for two
5a7ebb6fd42cd2d141f9e78ccd8f9ff76c92cc3e,₹500 for two
9af58a89548f9bded0bd763074558c9536cbeba8,"₹2,500 for two"
a3c64eee0f7c02f663ca4514ad45b3512b67cae1,"₹1,200 for two"
f103931fdb06c15257e8d535038787c12958dce5,"₹1,200 for two"
9a8ba8a696aea13fb278e102d72b0d14bf4fd222,"₹2,000 for two"
896a94eb4049d803f1d04b16efcbf3fc38472745,"₹3,500 for two"
94a4739d4c1492d52b5c16024294fc0b7ad8bcff,₹500 for two
9ebf9b38db1ff7d9c4acaf64119618f51759c17a,"₹3,200 for two"
705496fada328731d6c7a018b6d97a2c667387ff,"₹2,900 for two"
783a978fec88d9565b5e56b952c8520942c6e7a8,"₹1,800 for two"
af8f358ac7b35ee1ccf944ba858cdfa24e719a4b,"₹2,400 for two"
6aaf68186d5411a984c753a9f0203ae5de629c53,"₹2,800 for two"
f63325e0b53724fe2834bff2bb978f9e39c99cab,₹450 for two
39b32ea1f2d6299557fddc7cec0989a489198964,₹300 for two
b716ddc0060af3100df0d67c741b12a406dbf07e,₹900 for two
69fa64a954d75ce7438bc85569e564c044733e2e,₹300 for two
78485d46d40daa2bfffd4ef24c1e5350e37b852f,₹400 for two
fa70f76dcdbfcf9581d304b10501602210366fd4,₹500 for two
1a5f9e203da1a38c9c50e38e945c4dabd5df51bd,₹400 for two
8502408a97ea740f5b126dc70cfd333764ba8c95,₹500 for two
c09c84c25fee0c346d0897288900fce7dc1a1c2a,"₹1,600 for two"
6962704a126cdc4ba09fd3aff44b8eafb47a519c,"₹1,200 for two"
66f7d9265c422ea822d930f4777ccb080b22b5b7,"₹1,600 for two"
388fc3dc7e1e6be2424e4af9ccb4185876b1a9b1,₹300 for two
2ba709247ad02ffdb195a667d425f3fb30e757b6,₹450 for two
a260b0ab530bdc44b7bafec65b264654473341ac,₹450 for two
7b018c7a6f6a39bb7f6093bae5f1bd3f30c479b7,"₹1,300 for two"
e2d1a949ec89700630676560be4765fafb50dfc1,"₹2,000 for two"
fd499b199ee74496fcc2532ece4353808b795840,"₹1,500 for two"
8148de70e5a7c415ec1b98d6e8cb3b1a0fb8d927,₹850 for two
92a8403026a4ba604b7c10c36074e8c7f5903d74,"₹1,700 for two"
7451c90c8586ad414c33a83b327bb1f86543aa92,₹300 for two
013d6d7be69bd497bd3415d169e79c9d4a09be7d,₹300 for two
019708bcccae05177bd558d543a3ebc9407941c5,₹300 for two
f0b273aa97f671830a2c64fec433fa06eddfdeb8,"₹1,100 for two"
5ac94f2e092f7bb7306dc9547f92302282f8c1c0,₹550 for two
bed6db6115fbdf8e419a5fa9262e16de1e43e3da,₹450 for two
