poi_code,h3index
POI_IND_9999_0x3be7b063b4309677:0xacab123d47e26feb,89608b456c3ffff
POI_IND_9999_0x3be7b042dd5da90b:0x500c459884953386,89608b4563bffff
POI_IND_9999_0x3be7b1e5db2fbadf:0xbd50802d40db9eb7,89608b4ec13ffff
POI_IND_9999_0x3be797a947c4d521:0xa1460c122cb5b178,89608b5a587ffff
POI_IND_9999_0x3be795b3e3f7046b:0x80371e1b6a6df5f5,89608a24abbffff
POI_IND_9999_0x3be7c144a3b62213:0x90c7b1c8ded33672,89608bcd98bffff
POI_IND_9999_0x3be7af7899b53623:0xecb3b7b5677b328f,89608b4ccabffff
POI_IND_9999_0x3be87b390dba7653:0x8d2445cc5de470cc,89608b8e6a3ffff
POI_IND_9999_0x3be7e9ca90c435ef:0x259777e13a6c9840,89608bc1b4fffff
POI_IND_9999_0x3be7e93cc8e66419:0x25fd8d6dca5d10e0,89608bcf513ffff
POI_IND_9999_0x3be7e9ba1939175d:0xeb0dd51f81a6e1b9,89608bce6a7ffff
POI_IND_9999_0x3be7c37f25dab94d:0xc1263d03da396b19,89608bcc197ffff
POI_IND_9999_0x3be7af8efbc552cd:0x66efea9b75a832e2,89608b4ddb3ffff
POI_IND_9999_0x3be7a980d611ef5f:0xbcbf1abab8043f9c,8942db48bd7ffff
POI_IND_9999_0x3be7c84d19c77271:0xf25ed066ebdce1ba,89608b0b26fffff
POI_IND_9999_0x3be7c93dc0c30e13:0xb132724b785c1a29,89608b0b117ffff
POI_IND_9999_0x3be7b7256c920c2b:0xe164cea8c8fb2ff1,89608b471cbffff
POI_IND_9999_0x3be7c7006fffd497:0x19cbd94a1ce08dd,89608b5687bffff
POI_IND_9999_0x3be7c602d9b1d4db:0xe7f5dbe3ec80fb45,89608b569a3ffff
POI_IND_9999_0x3be7c9ce04bbf775:0xbf5e78220ae72cd4,89608b0958bffff
POI_IND_9999_0x3be7c9f6482b779d:0x64c45839713a92f2,89608b0b177ffff
POI_IND_9999_0x3be7b73d0dc82b2b:0xd583b0034b0c89c3,89608b0920fffff
POI_IND_9999_0x3be7b6dc19400d3d:0xec3b611818934535,89608b4441bffff
POI_IND_9999_0x3be7d1e6fe5d672d:0xa2afe2ae1e76ac35,89608b03233ffff
POI_IND_9999_0x3be7abf7ab079f7f:0xf6d94c87000e4f9a,8942db48803ffff
POI_IND_9999_0x3be7d7f9d5053af7:0x685650e744cfb44,89608b1210bffff
POI_IND_9999_0x3be7c39f3ef50ab7:0x148c110e38295acc,89608bce837ffff
POI_IND_9999_0x3be7e8798d6cf5c9:0x9beb4c9b03ed5e07,89608bc1d6bffff
POI_IND_9999_0x3be7af9757d3963d:0x8f80ca142f5ca2f4,89608b4dd8fffff
POI_IND_9999_0x3be7af7a7b3e3139:0xe0d81a487d60c092,89608b4dc87ffff
POI_IND_9999_0x3be7a97181cd4e69:0x38cd28906c5be4b4,8942db48b6fffff
POI_IND_9999_0x3be7e98b286ce709:0x1c19e9588afbc0c2,89608bc8d67ffff
POI_IND_9999_0x3be7b787e0b57a4d:0xb8b40b9c22e96507,89608b0920fffff
POI_IND_9999_0x3be7c9b89300ec5b:0xcfbb40f6827b0366,89608b54babffff
POI_IND_9999_0x3be7c931c0460845:0x2204bc44e89bdda,89608b0b293ffff
POI_IND_9999_0x3be7c9ab494d99f9:0xe187202a2d951274,89608b0b3c3ffff
POI_IND_9999_0x3be7c7960347f28d:0x67d2680e64ccc485,89608b541c3ffff
POI_IND_9999_0x3be7c9f696017c79:0x1a863f05cc39f0cd,89608b0b333ffff
POI_IND_9999_0x3be7b938d112601d:0x4de847b690501268,89608b551dbffff
POI_IND_9999_0x3be7c9a5a3d4c6dd:0x603596f1a2e92568,89608b094b7ffff
POI_IND_9999_0x3be7b7b9bae1f9b5:0x4d7028198b8890f2,89608b446a7ffff
POI_IND_9999_0x3be7c9d8daaaaaab:0xce473e71b011d694,89608b0962fffff
POI_IND_9999_0x3be7c92081e865e7:0x9ea8136650a2dca0,89608b54d4fffff
POI_IND_9999_0x3be7b8f95adc6309:0x9929fceea13f86e1,89608b553b3ffff
POI_IND_9999_0x3be7b7239a667e17:0x779b36baa0a79e99,89608b47157ffff
POI_IND_9999_0x3be7c9ad8c3d6a09:0xb2a4d6fbd4decf8c,89608b0b16bffff
POI_IND_9999_0x3be7c7e698b132d9:0xba58126552451697,89608b56c77ffff
POI_IND_9999_0x3be7c966c6b6eb79:0x7d912dd4fd7bda43,89608b086cbffff
POI_IND_9999_0x3be7c8f130000001:0x545d206dec1965c8,89608b0b053ffff
POI_IND_9999_0x3be7b7aa9aab732b:0x2e7bd6bb4da52a7c,89608b54b43ffff
POI_IND_9999_0x3be7c9005f1a7955:0x7a085462da293594,89608b0b323ffff
POI_IND_9999_0x3be7b0e2d7e37ee9:0x4f0d7b3686aea10f,89608b4554bffff
POI_IND_9999_0x3be7b7834cf7f6fb:0x2861cf8fdef8ccd1,89608b093dbffff
POI_IND_9999_0x3be7cfc2f7501dbf:0xd539356fa17a503f,89608b0a51bffff
POI_IND_9999_0x3be7d1c4c24ac8c3:0x11b977e760c16a4d,89608b03283ffff
POI_IND_9999_0x3be7af199797a9f1:0x127076bd7d08a8cb,89608b4ce43ffff
POI_IND_9999_0x3be7afa562333ea7:0xce9283807aea8ddc,89608b4c327ffff
POI_IND_9999_0x3be7d1c137810ea3:0x21384737f2ec91e2,89608b0305bffff
POI_IND_9999_0x3be7d1c0c51d3d5d:0x8056578ab9a503e2,89608b03057ffff
POI_IND_9999_0x3be7d1de2ddca537:0x196524b2dee23043,89608b0320fffff
POI_IND_9999_0x3be7cfd43cede547:0x4b07b1c00c9cef8,89608b0a63bffff
POI_IND_9999_0x3be7cff2042e5083:0x2363d345d43707fa,89608b0b5a3ffff
POI_IND_9999_0x3be7c30535fedfd3:0x7ab09fa4a87a24e0,89608bcc0dbffff
POI_IND_9999_0x3be7e837cac68307:0x1548872a98104bca,89608bcf513ffff
POI_IND_9999_0x3be7a9e4ca3b482f:0x710366b483960d6f,89608b4d88bffff
POI_IND_9999_0x3be7a95586734627:0x48eca5ddf2ab67de,8942db488a3ffff
POI_IND_9999_0x3be7a9681456d635:0x32b6c0cad326d7c8,8942db48b87ffff
POI_IND_9999_0x3be703a726e4f19f:0xb759e3759ed4fe55,8942db40e4bffff
POI_IND_9999_0x3be7d1c323572785:0xf67c19526b8cc994,89608b032bbffff
POI_IND_9999_0x3be7cf70bc0d6677:0xb35c7193245a4c90,89608b010c3ffff
POI_IND_9999_0x3be7ce8d75260871:0xb58d525e06438f88,89608b0a557ffff
POI_IND_9999_0x3be7d1da4129b4ad:0x2bb4a7d17d62e699,89608b032c7ffff
POI_IND_9999_0x3be7aa4c475eec05:0xe9f6e4bdbdb58883,8942db48e53ffff
POI_IND_9999_0x3be7aff740c9dad7:0xc3d837eb5e9d0d63,89608b4e293ffff
POI_IND_9999_0x3be71f2e6a5be7c1:0xf925454b7c6221db,8942db56677ffff
POI_IND_9999_0x3be7c61d35d5d0bf:0x603bb6dfead8de02,89608b56993ffff
POI_IND_9999_0x3be7c9bf40c4ed19:0xa25d3b05259a616c,89608b0b693ffff
POI_IND_9999_0x3be7b746788bfe03:0x3480a88433304dff,89608b0920bffff
POI_IND_9999_0x3be7c91316abb00d:0x6cf4def1f5dd5ef3,89608b0b10bffff
POI_IND_9999_0x3be7c956f626d055:0xef570a313fbfb9ac,89608b094dbffff
POI_IND_9999_0x3be7c9ac513882c3:0x93956dfd3e8a4dcc,89608b0954fffff
POI_IND_9999_0x3be7af812992125d:0xfacd008bc1d2d0c,89608b4ce43ffff
POI_IND_9999_0x3be7b70bf0660de9:0x1e1a9adc936f79bb,89608b0923bffff
POI_IND_9999_0x3be7b78f6ddaec4d:0x173d1a42be19e9fa,89608b444a3ffff
POI_IND_9999_0x3be7c61fb3061209:0x5ff5d8c75004443,89608b569c3ffff
POI_IND_9999_0x3be7c919239d07f9:0xa41aaa3e1fc3be48,89608b0b1c3ffff
POI_IND_9999_0x3be7b9764ccd6bd5:0xfaab1634c31996c,89608b5516fffff
POI_IND_9999_0x3be7b17e4816a0ab:0x243b89c285a0f3e4,89608b45437ffff
POI_IND_9999_0x3be7b638f641b6bf:0x2e208a3eba2a19a7,89608b461a3ffff
POI_IND_9999_0x3be7b711fb390ad9:0x67db4d8e5254d2da,89608b09357ffff
POI_IND_9999_0x3be7b7633285dc37:0xfc524641d1f2a19d,89608b09233ffff
POI_IND_9999_0x3be7b7e18ed9b1c5:0xb8145d49e698751e,89608b09277ffff
POI_IND_9999_0x3be7b6e29d28df55:0x38a8f2338ba78f94,89608b46223ffff
POI_IND_9999_0x3be7b85fdeccd827:0xabe216e2319f7e99,89608b551abffff
POI_IND_9999_0x3be7c9f65baaa081:0xa79edee5c604cace,89608b09413ffff
POI_IND_9999_0x3be7c900113f72eb:0xdf196bf5fab8eaff,89608b569b3ffff
POI_IND_9999_0x3be7c9c308aca135:0x24df7055480281ee,89608b086c7ffff
POI_IND_9999_0x3be7c9eee4eebf75:0xd14cd6d14f4aa2b3,89608b56b03ffff
POI_IND_9999_0x3be7c304fffb8fbf:0xa23ab64d4474dc2e,89608bcc607ffff
POI_IND_9999_0x3be7e95e985cc519:0x170fb370542cbaec,89608bc1b6bffff
POI_IND_9999_0x3be7e9b290fb11a7:0xc63c83598d29db35,89608bcf577ffff
POI_IND_9999_0x3be7e1d88c08563b:0xe460850cddd48a1a,89608bc7457ffff
POI_IND_9999_0x3be7e9a25baac40d:0x7e3790462b4b6ccf,89608bcf517ffff
POI_IND_9999_0x3be7b50bf9cfbe41:0xb6acfc1aa272dd8f,89608b44cdbffff
POI_IND_9999_0x3be7b140fb56d5f7:0xd28a8b6a838c8e61,89608b44633ffff
POI_IND_9999_0x3be7b647697001a7:0x11cea144d391c222,89608b46187ffff
POI_IND_9999_0x3be7c96733f84953:0x1e26994199dccd22,89608b0b14bffff
POI_IND_9999_0x3be7c8eeb56d45e3:0xde8b96bdf6311473,89608b0b6a7ffff
POI_IND_9999_0x3be7c7c4c86cc4c5:0x7c4266f50eb8d733,89608b54cd3ffff
POI_IND_9999_0x3be7c9f7e8dd7a9f:0xbdc99f5afc19c948,89608b09627ffff
POI_IND_9999_0x3be7c138e0913c0d:0xce3da89ba8fdb9a1,89608b0968fffff
POI_IND_9999_0x3be7c7faba248e0f:0xc301438716b6356c,89608b54e8bffff
POI_IND_9999_0x3be7c96c10d5576b:0x43343fc112a79c19,89608b548cbffff
POI_IND_9999_0x3be7b8f0ea23a0dd:0x9b93f3a64aafcf56,89608b55143ffff
POI_IND_9999_0x3be7c996f1902b01:0x314de4d31a9d4822,89608b084d3ffff
POI_IND_9999_0x3be7c91391f22eb9:0xe6562bb312e70c90,89608b54d3bffff
POI_IND_9999_0x3be7c7491adebc73:0xf09da59d5da1ddde,89608b5686bffff
POI_IND_9999_0x3be7c14b955350ad:0xfadaed5527b4a60f,89608bcd92bffff
POI_IND_9999_0x3be7b15a18b1d527:0x3720ab093e4900aa,89608b45677ffff
POI_IND_9999_0x3be7c1bd64da7453:0x4b6dd07cc14fd5b8,89608bcd9abffff
POI_IND_9999_0x3be7c1cf9a04d89f:0xccb910f42b853b69,89608bcd907ffff
POI_IND_9999_0x3be7c1993d9e4cc9:0xb378f50838437071,89608b57467ffff
POI_IND_9999_0x3be7c39ccdc10e47:0x2f9eb6cc6b812080,89608bcea4bffff
POI_IND_9999_0x3be7b1cd8e60d961:0x5ffdc3b3d3352ea3,89608b4ec8bffff
POI_IND_9999_0x3be7c1218bdb1783:0xda45f6f7561bb24b,89608bcd9b3ffff
POI_IND_9999_0x3be7af98088dfa53:0x3488abbe840bf48b,89608b4ce5bffff
POI_IND_9999_0x3be7e99a5564e49d:0x2c0c2ee1221a647,89608bcf313ffff
POI_IND_9999_0x3be7c326ecc0c4d9:0x5e543eb3e99f11de,89608bce8cfffff
POI_IND_9999_0x3be7c3bdf1c29a71:0xf42d3bf1245e9ede,89608bcc183ffff
POI_IND_9999_0x3be7c357b3a31d47:0x73ef4ae399d157b3,89608bcea4bffff
POI_IND_9999_0x3be7b9aa159fb303:0x7ba4778c30f8de72,89608b421a3ffff
POI_IND_9999_0x3be7c145bd062601:0xce3672d5a3e2665d,89608bcd93bffff
POI_IND_9999_0x3be7c1566d4240b5:0x7a4389a569638f82,89608bcd8afffff
POI_IND_9999_0x3be7b940880cef0f:0x79f8d6da4c3d23e,89608b421a3ffff
POI_IND_9999_0x3be7b9cad8998ee1:0xe9aed6352cdffd7b,89608b42ec7ffff
POI_IND_9999_0x3be7956057c2b8fb:0x70e34cbfa762b229,89608a24a83ffff
POI_IND_9999_0x3be7931461b85099:0x6213580aed5feadb,89608bc925bffff
POI_IND_9999_0x3be7d1feb66f42b1:0x77e4016e3dd012d6,89608b0305bffff
POI_IND_9999_0x3be7ce11ff636d53:0x2d03392c149a3759,89608b0144fffff
POI_IND_9999_0x3be7ce8fb09e4355:0x37c7f4de8506d6dd,89608b0a50fffff
POI_IND_9999_0x3be7cf9c1a68fec9:0xa74e1911c997b391,89608b0a5c3ffff
POI_IND_9999_0x3be7cef5ae46c923:0x1d1d39bfb866b8d8,89608b0a5d7ffff
POI_IND_9999_0x3be7cfb4589ded9b:0x943bc3d3158b1396,89608b0a553ffff
POI_IND_9999_0x3be7ce8c350898ed:0x664c7200a24a00a9,89608b0a54bffff
POI_IND_9999_0x3be7cf006a33331d:0x20662a75d8e9a8bf,89608b0a033ffff
POI_IND_9999_0x3be7ea095ddc0001:0xcbac9280e0f180fd,89608bcd46fffff
POI_IND_9999_0x3be7e86af54b0ecb:0x6114b608a82684cb,89608bc1b37ffff
POI_IND_9999_0x3be7c38c17f6620b:0xb62651931c17c85e,89608bcc28bffff
POI_IND_9999_0x3be7e76993a6f157:0x297277fd90fff00f,89608bc1d63ffff
POI_IND_9999_0x3be7b702bae86b4b:0x3672bc3953ec819e,89608b465afffff
POI_IND_9999_0x3be7b19f7f38231f:0x5ab73781c3786c26,89608b4467bffff
POI_IND_9999_0x3be7b7d9b64af6cd:0xb88f633afe66da8d,89608b46313ffff
POI_IND_9999_0x3be7c9e98449167d:0x21dcf549a43d5604,89608b090bbffff
POI_IND_9999_0x3be7c9d162e1ed85:0x8573c304fa91b87e,89608b09617ffff
POI_IND_9999_0x3be7b7eb6df21871:0xa97a3f3d53d5d639,89608b471cbffff
POI_IND_9999_0x3be7b7004e1d1efd:0x89ad248342ef51cd,89608b47157ffff
POI_IND_9999_0x3be7b7000c2d29a7:0x62711b74cdd36fd4,89608b09347ffff
POI_IND_9999_0x3be7c9e97da00a65:0x2e4ad0b6b7b845b7,89608b090bbffff
POI_IND_9999_0x3be7c9b0c92d3b85:0x32ba6990eadb0093,89608b084dbffff
POI_IND_9999_0x3be7cefae0efc52d:0x1678f65a7674011f,89608b0a417ffff
POI_IND_9999_0x3be7cfeb7dcd8909:0x8dbfd5b2d376138a,89608b0a097ffff
POI_IND_9999_0x3be7d1994f9000df:0xa11737cb8605223d,89608b0328fffff
POI_IND_9999_0x3be7d1c39064d5c9:0xba0ae792ad2f9067,89608b03287ffff
POI_IND_9999_0x3be7cedb77aaea29:0x77411cc8d480e12,89608b0a6abffff
POI_IND_9999_0x3be7d133bcdff0af:0x136da8532944a4a5,89608b0305bffff
POI_IND_9999_0x3be7d10bd9572a31:0x67af706b10773086,89608b03283ffff
POI_IND_9999_0x3be7d1d25f59499d:0x6a89b1178a56e13,89608b032d7ffff
POI_IND_9999_0x3be7c9aa92be7229:0x3664b2ca92911e62,89608b0b5cfffff
POI_IND_9999_0x3be7ce214bc48589:0xc61d4174580ce1c7,89608b189b3ffff
POI_IND_9999_0x3be7a96c48346de9:0x61c09fc5ef252cb2,89608b4da23ffff
POI_IND_9999_0x3be7c90febdbbb0d:0xa0d346dce9055e28,89608b0b3b3ffff
POI_IND_9999_0x3be7c91ea6f750ad:0xb0d0ba99b3713957,89608b19a53ffff
POI_IND_9999_0x3be7c9a73072c263:0xac5e24fe2dc9e741,89608b0968bffff
POI_IND_9999_0x3be7c9e9e42942ed:0x226778c40871176a,89608b09017ffff
POI_IND_9999_0x3be7c827381225df:0x4aaa3fdb9e634324,89608b54b13ffff
POI_IND_9999_0x3be7c953bd0ddef7:0x60b032153b9fc9e0,89608b086c7ffff
POI_IND_9999_0x3be7c95d6bc28651:0xba086868d7a13d14,89608b0b57bffff
POI_IND_9999_0x3be7c994afaff939:0x7e6118c795d0a889,89608b090bbffff
POI_IND_9999_0x3be7c745b0fc85a7:0xdcb498282e5ca045,89608b54e8bffff
POI_IND_9999_0x3be7e9618a92e4bf:0xe21bb843e5dc3d0b,89608bce653ffff
POI_IND_9999_0x3be7c3629fa88b35:0xb6025e5bce75b8f0,89608bcc0dbffff
POI_IND_9999_0x3be7c36e7667b723:0xdb23dcca7d1c26a4,89608bcc2d7ffff
POI_IND_9999_0x3be7b17f8dc23297:0xb69327f214950a9e,89608b4e5b3ffff
POI_IND_9999_0x3be7b9040bcd7975:0xfa555ba48eedf430,89608b42ea7ffff
POI_IND_9999_0x3be7bd9f18433ae9:0xdc6be918bd5e02e2,89608b58dc3ffff
POI_IND_9999_0x3be7951a58cfc7a1:0x97cdcf47011032e1,89608a24b3bffff
POI_IND_9999_0x3be7c3db17447b45:0x58ef992e66062425,89608bcc1b3ffff
POI_IND_9999_0x3be7c136b2c080cb:0x7bf61fedbf46d7be,89608bcd93bffff
POI_IND_9999_0x3be7b923d8d069ef:0xb000ee266605238e,89608b55213ffff
POI_IND_9999_0x3be7d1d981951fe7:0xcacbde10af0db255,89608b032cfffff
POI_IND_9999_0x3be7d13d5634ed09:0xe816a24736b61500,89608b0305bffff
POI_IND_9999_0x3be7cfbceda61475:0x35e7fa9fc56e781c,89608b0a55bffff
POI_IND_9999_0x3be7c9002988560b:0xd890ef6c46fe6666,89608b0a2dbffff
POI_IND_9999_0x3be7ce0d165595d9:0xf5e3e581369494be,89608b016b7ffff
POI_IND_9999_0x3be7ce71d23b1fd1:0xc186c36c9096777c,89608b0160fffff
POI_IND_9999_0x3be7c7939b61de3d:0xbfcf53192dcb76f4,89608b55333ffff
POI_IND_9999_0x3be7c9fce134e3e5:0x82c75ef754a4c7a0,89608b54d5bffff
POI_IND_9999_0x3be7b6143b6e3ad3:0xe8e29a42e83bac81,89608b0926fffff
POI_IND_9999_0x3be7b76d0943b6d7:0xfb5ce8200d335fe7,89608b09357ffff
