poicode,matched
,False
POI_IND_9999_0x3be7c909e9d4d267:0x1c035054ddb23d00,True
POI_IND_9999_0x3be7d10696e478ed:0x23466f98316a0d4e,True
POI_IND_9999_0x3be7c972a10ce2bf:0xd048a2ab79a10b35,True
POI_IND_9999_0x3be7d12e6b476353:0x4d716f978f966b15,True
POI_IND_9999_0x3be7ce8af24717d9:0xae1b5b0526d83ff6,True
POI_IND_9999_0x3be7ce8c350898ed:0x664c7200a24a00a9,True
,False
,False
POI_IND_9999_0x3be7c91da0342953:0x785236e16e55c891,True
POI_IND_9999_0x3be7d1c137810ea3:0x21384737f2ec91e2,True
POI_IND_9999_0x3be7c9f263c3e5db:0x21a0ff441c7e9aa9,True
,False
POI_IND_9999_0x3be7c9b1541720ff:0xff78660cb9541d14,True
,False
POI_IND_9999_0x3be7c98c8d8c3247:0x13861a5b69cc7173,True
,False
,False
POI_IND_9999_0x3be7d1ef274902ed:0x9bd046edc1058823,True
,False
POI_IND_9999_0x3be7d1c3068bf0e5:0xd5a3edef65c4dd4d,True
POI_IND_9999_0x3be7c8c2c010b011:0xf8ee113451af419a,True
POI_IND_9999_0x3be7c9702115ae93:0x358f35bea2f5b2e9,True
