input_name,input_address,input_url,google_name,google_address,google_url,name_match,address_match,placeid_url,name,url,url_hash,address,latitude,longitude,poicode,matched_poicode_old,matched,query
"The Shalimar Hotel, Malabar Hill, Kemps Corner, August Kranti Road, Kemps Corner, Mumbai",https://www.zomato.com/mumbai/nova-kemps-corner-kemps-corner,fa4c800319c0aae7bd748c7145ca56a5c2681024,"Adiva Residency Beacon, Grant Road, Mumbai","
Maulana Shaukat Ali Road, opposite Super Cinema, Grant Road East, Khetwadi, Grant Road, Mumbai, Maharashtra 400004","https://www.google.com/maps/place/Adiva+Residency+Beacon,+Grant+Road,+Mumbai/@18.961758,72.8169799,17z/data=!4m12!1m2!2m1!1sNova+Kemps+Corner+The+Shalimar+Hotel,+Malabar+Hill,+Kemps+Corner,+August+Kranti+Road,+Kemps+Corner,+Mumbai!3m8!1s0x3be7cf57a37d8a33:0x6688b268d507336!5m2!4m1!1i2!8m2!3d18.9617577!4d72.8214862!16s%2Fg%2F11h4c85fgx?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7cf57a37d8a33:0x6688b268d507336,,,,,,,,,,
"Shop 1/2, New Malinee Cooperative Housing Society, Mahakali, Mumbai",https://www.zomato.com/mumbai/coffee-by-di-bella-1-mahakali,1fae34032d7bc2253bcc02b94a15bb9891d0ecda,"Coffee By Di Bella, Sher E Punjab","
Shop no.1 & 2, New Malinee Chs Ldt, Mahakali Caves Rd, opposite Cannosa School, Subhash Nagar, Andheri East, Mumbai, Maharashtra 400093","https://www.google.com/maps/place/Coffee+By+Di+Bella,+Sher+E+Punjab/@19.124683,72.8622333,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7c9a7221bc17b:0xff46ff5a5d376201!8m2!3d19.124683!4d72.8648082!16s%2Fg%2F11y24_blvr?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7c9a7221bc17b:0xff46ff5a5d376201,,,,,,,,,,
"Shankar Mandeer, Mahul Road, Opposite BPCL Company, Chembur, Mumbai",https://www.zomato.com/mumbai/sindhu-palace-chembur,f13b9eef275f4a75b40d3eb95792a2b42d973432,Sindhu Palace,"
Opposite Bharat Petrol Company, Mahul Road, Chembur Colony, Ramkrishna Chemburkar Marg, Mahul Rd, Sion East, Chembur, Mumbai, Maharashtra 400074","https://www.google.com/maps/place/Sindhu+Palace/@19.0426034,72.8752597,15z/data=!4m10!1m2!2m1!1sSindhu+Palace+Shankar+Mandeer,+Mahul+Road,+Opposite+BPCL+Company,+Chembur,+Mumbai!3m6!1s0x3be7c8ab64f1f477:0x446cec4fb553ed03!8m2!3d19.0426034!4d72.8932841!15sClBTaW5kaHUgUGFsYWNlIFNoYW5rYXIgTWFuZGlyLCBNYWh1bCBSb2FkLCBPcHBvc2l0ZSBCUENMIENvbXBhbnksIENoZW1idXIsIE11bWJhaZIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F1tfm9q2t?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7c8ab64f1f477:0x446cec4fb553ed03,,,,,,,,,,
"Shop 3, Ishwar Nivas, Opposite Nawroz Baug, Dr. SS Rao Road, Parel, Mumbai",https://www.zomato.com/mumbai/chaat-puchka-parel,04624588bd5c76b3e568b8d2218d7521fa13109d,Chaat Puchka Lalbaug,"
Shop no 3, Iswar Niwas, Dr SS Rao Marg, opp. Nowroz Baug, Ganesh Gully, Parel, Mumbai, Maharashtra 400012","https://www.google.com/maps/place/Chaat+Puchka+Lalbaug/@18.9936445,72.8349524,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7cf1f1733c3b9:0xb5188e2ee65796bc!8m2!3d18.9936445!4d72.8375273!16s%2Fg%2F11st9466r0?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7cf1f1733c3b9:0xb5188e2ee65796bc,Chaat Puchka,https://www.zomato.com/mumbai/chaat-puchka-parel,04624588bd5c76b3e568b8d2218d7521fa13109d,"Shop 3, Ishwar Nivas, Opposite Nawroz Baug, Dr. SS Rao Road, Parel, Mumbai",18.9936445,72.83752729999999,,,False,"Chaat Puchka, Shop 3, Ishwar Nivas, Opposite Nawroz Baug, Dr. SS Rao Road, Parel, Mumbai"
"7, Arandhana Gurunanak Housing Society, Opposite City Intenational School, Oshiwara, Andheri West, Mumbai",https://www.zomato.com/mumbai/mahiras-kitchen-oshiwara,c6f779c32c6e5c2fe1b2bf1d7f29cb11620872b9,Mahira's Kitchen,"
Shop no 7, Aradhna Gurunanak Apartments, opp. City International School, Oshiwara, Andheri West, Mumbai, Maharashtra 400102","https://www.google.com/maps/place/Mahira's+Kitchen/@19.1483146,72.8301468,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7b761d2cea8a3:0xb4e3e9c5d60b883!8m2!3d19.1483146!4d72.8327217!16s%2Fg%2F11fk3xxnzx?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7b761d2cea8a3:0xb4e3e9c5d60b883,Mahira’s Kitchen,https://www.zomato.com/mumbai/mahiras-kitchen-oshiwara,c6f779c32c6e5c2fe1b2bf1d7f29cb11620872b9,"7, Arandhana Gurunanak Housing Society, Opposite City Intenational School, Oshiwara, Andheri West, Mumbai",19.1483146,72.8327217,,,False,"Mahira’s Kitchen, 7, Arandhana Gurunanak Housing Society, Opposite City Intenational School, Oshiwara, Andheri West, Mumbai"
"Opposite Samsung Gallery, Phase 3, Old Golden Nest, Mira Road, Mumbai",https://www.zomato.com/mumbai/jashn-family-restaurant-bar-mira-road,207ee009fb07b599498f37096ffe1a1868e1cb88,Family Restaurant & Bar,"
7V8G+PVP, Service Rd, Mahajan Wadi, Mira Road East, Mira Bhayandar, Maharashtra 401107","https://www.google.com/maps/place/Family+Restaurant+%26+Bar/@19.2668289,72.7330083,12z/data=!4m10!1m2!2m1!1sJashn+-+Family+Restaurant+%26+Bar+Opposite+Samsung+Gallery,+Phase+3,+Old+Golden+Nest,+Mira+Road,+Mumbai!3m6!1s0x3be7b08aef7d6f75:0xd184ed462603b85e!8m2!3d19.2668289!4d72.8772039!15sCmVKYXNobiAtIEZhbWlseSBSZXN0YXVyYW50ICYgQmFyIE9wcG9zaXRlIFNhbXN1bmcgR2FsbGVyeSwgUGhhc2UgMywgT2xkIEdvbGRlbiBOZXN0LCBNaXJhIFJvYWQsIE11bWJhaVphIl9qYXNobiBmYW1pbHkgcmVzdGF1cmFudCAmIGJhciBvcHBvc2l0ZSBzYW1zdW5nIGdhbGxlcnkgcGhhc2UgMyBvbGQgZ29sZGVuIG5lc3QgbWlyYSByb2FkIG11bWJhaZIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11vm5bs2hf?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7b08aef7d6f75:0xd184ed462603b85e,,,,,,,,,,
"Shop 8, Golden Willows, Mulund West, Mumbai",https://www.zomato.com/mumbai/uptown-eatery-mulund-west,48c5d88381ce3364e0121c314ff06e567c17024d,Uptown Eatery,"
Cypress CHS, Shop No. 8, Golden Willows, Cypress, Mulund West, Mumbai, Maharashtra 400080","https://www.google.com/maps/place/Uptown+Eatery/@19.1804873,72.9374746,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7b9628d31cc1f:0x80e2cf9267f17b63!8m2!3d19.1804873!4d72.9400495!16s%2Fg%2F11pgyvzqfv?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7b9628d31cc1f:0x80e2cf9267f17b63,Uptown Eatery,https://www.zomato.com/mumbai/uptown-eatery-mulund-west,48c5d88381ce3364e0121c314ff06e567c17024d,"Shop 8, Golden Willows, Mulund West, Mumbai",19.1804873,72.9400495,,,False,"Uptown Eatery, Shop 8, Golden Willows, Mulund West, Mumbai"
"Kiosk A 12, Near Sanpada Railway Station Complex, Sanpada, Navi Mumbai",https://www.zomato.com/mumbai/ministry-of-shawarma-sanpada-navi-mumbai,b39ac2f7766390a6e58b42df8c5898d5ea9e3d17,Ministry of Shawarma,"
Railway station, Shop no 2 A/12, Kholik, Kisok mini market near, near Sanpada, Navi Mumbai, Maharashtra 400705","https://www.google.com/maps/place/Ministry+of+Shawarma/@19.0654625,73.0078028,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7c1be6983eafd:0xb99b1cf9209d9e89!8m2!3d19.0654625!4d73.0103777!16s%2Fg%2F11l6j5bdxf?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7c1be6983eafd:0xb99b1cf9209d9e89,Ministry Of Shawarma,https://www.zomato.com/mumbai/ministry-of-shawarma-sanpada-navi-mumbai,b39ac2f7766390a6e58b42df8c5898d5ea9e3d17,"Kiosk A 12, Near Sanpada Railway Station Complex, Sanpada, Navi Mumbai",19.0654625,73.01037769999999,,,False,"Ministry Of Shawarma, Kiosk A 12, Near Sanpada Railway Station Complex, Sanpada, Navi Mumbai"
"312, RJ Ahir Sajid Tower, SV Road, Jogeshwari, Mumbai",https://www.zomato.com/mumbai/coffee-over-breakfast-jogeshwari,f4f6978f103813a5cef568824343e8e0697a6865,Sajid Tower,"
4, Swami Vivekanand Rd, Saraswati Baug, Amboli, Andheri West, Naka, Mumbai, Maharashtra 400058","https://www.google.com/maps/place/Sajid+Tower/@19.1354636,72.8105967,14z/data=!4m10!1m2!2m1!1sCoffee+Over+Breakfast+312,+RJ+Ahir+Sajid+Tower,+SV+Road,+Jogeshwari,+Mumbai!3m6!1s0x3be7b62a6d2d3a8f:0x4bc0980d509d1a9!8m2!3d19.1289463!4d72.8471262!15sCktDb2ZmZWUgT3ZlciBCcmVha2Zhc3QgMzEyLCBSSiBBaGlyIFNhamlkIFRvd2VyLCBTViBSb2FkLCBKb2dlc2h3YXJpLCBNdW1iYWmSARJhcGFydG1lbnRfYnVpbGRpbmfgAQA!16s%2Fg%2F11byty2ctq?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7b62a6d2d3a8f:0x4bc0980d509d1a9,Coffee Over Breakfast,https://www.zomato.com/mumbai/coffee-over-breakfast-jogeshwari,f4f6978f103813a5cef568824343e8e0697a6865,"312, RJ Ahir Sajid Tower, SV Road, Jogeshwari, Mumbai",19.138147,72.8486509,,,False,"Coffee Over Breakfast, 312, RJ Ahir Sajid Tower, SV Road, Jogeshwari, Mumbai"
"Shop 19, SRA Building 2, Adarsh Nagar, New Link Road, Near Lashkaria Empress Tower, Andheri Lokhandwala, Andheri West, Mumbai",https://www.zomato.com/mumbai/juice-more-andheri-lokhandwala,420bcfdf3735ea0bd971b118d0225f1fa6d72bfd,Real Fresh Juice & Sandwich,"
Shop no B-16, Green villa bldg, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053","https://www.google.com/maps/place/Real+Fresh+Juice+%26+Sandwich/@19.1467476,72.7925876,14z/data=!4m10!1m2!2m1!1sJuice+%26+More+Shop+19,+SRA+Building+2,+Adarsh+Nagar,+New+Link+Road,+Near+Lashkaria+Empress+Tower,+Andheri+Lokhandwala,+Andheri+West,+Mumbai!3m6!1s0x3be7b7bf66f4a303:0x156f0e3be976f6ce!8m2!3d19.1467476!4d72.8286365!15sCooBSnVpY2UgJiBNb3JlIFNob3AgMTksIFNSQSBCdWlsZGluZyAyLCBBZGFyc2ggTmFnYXIsIE5ldyBMaW5rIFJvYWQsIE5lYXIgTGFzaGthcmlhIEVtcHJlc3MgVG93ZXIsIEFuZGhlcmkgTG9raGFuZHdhbGEsIEFuZGhlcmkgV2VzdCwgTXVtYmFpWoYBIoMBanVpY2UgJiBtb3JlIHNob3AgMTkgc3JhIGJ1aWxkaW5nIDIgYWRhcnNoIG5hZ2FyIG5ldyBsaW5rIHJvYWQgbmVhciBsYXNoa2FyaWEgZW1wcmVzcyB0b3dlciBhbmRoZXJpIGxva2hhbmR3YWxhIGFuZGhlcmkgd2VzdCBtdW1iYWmSAQRjYWZl4AEA!16s%2Fg%2F11rwx03msr?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7b7bf66f4a303:0x156f0e3be976f6ce,Juice & More,https://www.zomato.com/mumbai/juice-more-andheri-lokhandwala,420bcfdf3735ea0bd971b118d0225f1fa6d72bfd,"Shop 19, SRA Building 2, Adarsh Nagar, New Link Road, Near Lashkaria Empress Tower, Andheri Lokhandwala, Andheri West, Mumbai",19.1467476,72.8286365,,,False,"Juice & More, Shop 19, SRA Building 2, Adarsh Nagar, New Link Road, Near Lashkaria Empress Tower, Andheri Lokhandwala, Andheri West, Mumbai"
