poicode,estimated_visit
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,100
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,74
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,277
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,1
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,2
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,102
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,164
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,180
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,101
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,1
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,100
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,101
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,1
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,301
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,457
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,103
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,139
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,201
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,80
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,264
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,1
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,186
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,227
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,204
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,727
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,162
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,736
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,302
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,434
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,102
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,300
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,366
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,509
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,303
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,303
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,126
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,590
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,576
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,584
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,365
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,304
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,305
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,547
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,332
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,400
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,423
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,347
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,334
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,205
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,722
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,616
POI_IND_9999_0x3be7b7ed0ec649e5:0x755db5916d8c4f8b,781
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,57
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,220
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,145
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,92
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,142
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,230
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,255
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,251
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,202
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,102
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,100
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,120
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,599
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,208
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,123
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,453
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,225
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,102
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,307
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,92
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,331
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,166
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,396
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,246
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,349
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,215
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,829
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,178
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,141
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,141
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,511
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,400
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,348
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,280
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,204
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,102
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,530
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,298
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,432
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,402
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,483
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,265
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,338
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,286
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,396
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,336
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,627
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,326
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,445
