poicode,day_type,total_count,total_estimated_visit
POI_IND_9999_0x3be7c9a60cdedbb3:0xd34eddc4325443f7,weekday,64,4137.0
POI_IND_9999_0x3be7c916fdc4cab1:0x95b07fcf915a6578,weekday,40,2185.0
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,weekend,13,358.0
POI_IND_9999_0x3be7b710aa7c2b9d:0x354b6bfc19ec240b,weekday,125,4835.0
POI_IND_9999_0x3be7c83a6c82b9d1:0x4ffaf30a62bfc880,weekend,168,2902.0
POI_IND_9999_0x3be7c9b66de51133:0x594af6c9fdcd3ed9,weekday,97,3318.0
POI_IND_9999_0x3be7c9b66de51133:0x594af6c9fdcd3ed9,weekend,60,1514.0
POI_IND_9999_0x3be7b1e3b59a761b:0xdd979e6bd375a01f,weekend,255,9145.0
POI_IND_9999_0x3be7c72a133bf1b5:0x63b60c0cd9965e13,weekday,238,5428.0
POI_IND_9999_0x3be7b7a75bd219d1:0x7d9e9bedb9e0de09,weekend,1590,42084.0
POI_IND_9999_0x3be7e86af54b0ecb:0x6114b608a82684cb,weekend,194,3120.0
POI_IND_9999_0x3be7c900566b4269:0xeb7a3be5e8dd40e6,weekday,28,1584.0
POI_IND_9999_0x3be7c8a50afcb3eb:0xf9e4412ce124db60,weekend,27,1077.0
POI_IND_9999_0x3be7c91e7aaaaaab:0x85a286c6fd596dfd,weekend,18,999.0
POI_IND_9999_0x3be7c9f7ab1d5cb3:0xa8e0a41f7e36892d,weekday,11,590.0
POI_IND_9999_0x3be7c152c3110947:0x9ff0a8402dbf1232,weekend,80,735.0
POI_IND_9999_0x3be7c152c3110947:0x9ff0a8402dbf1232,weekday,176,1667.0
POI_IND_9999_0x3bdd792d3488165f:0x77d1dc707d0d9a17,weekday,207,5465.0
POI_IND_9999_0x3be7b08af3992151:0x127613749165ff46,weekday,76,3407.0
POI_IND_9999_0x3be797a5f9e8f083:0x530b0ca4a6322b3a,weekend,458,5490.0
POI_IND_9999_0x3be7c133e76f1551:0x5a187694d064884c,weekend,73,405.0
POI_IND_9999_0x3be7b96dddafbfaf:0x2ce661da0a26d2f3,weekend,22,781.0
POI_IND_9999_0x3be7b96dddafbfaf:0x2ce661da0a26d2f3,weekday,47,1626.0
POI_IND_9999_0x3be7b7e1322b1c8f:0xb452b1fea891b817,weekday,73,2676.0
POI_IND_9999_0x3be7b7e1322b1c8f:0xb452b1fea891b817,weekend,11,654.0
POI_IND_9999_0x3be7c9d56d7a47a5:0x156a36da76230a3a,weekday,77,4412.0
POI_IND_9999_0x3be7c9d56d7a47a5:0x156a36da76230a3a,weekend,36,2189.0
POI_IND_9999_0x3be7ce1e8741d455:0xbe039e3af7a9bf98,weekend,18,798.0
POI_IND_9999_0x3be7d1dfff98895f:0x6709775df5649388,weekend,41,1215.0
POI_IND_9999_0x3be7c93af994a663:0x25357c252a027c10,weekday,135,6556.0
POI_IND_9999_0x3be7c914624db2cd:0xd7fc3cd65287330d,weekend,65,2077.0
POI_IND_9999_0x3be7cf76832d7e83:0xa0fa9eac27400a84,weekday,112,4299.0
POI_IND_9999_0x3be7b9a839d54a31:0xa2b73f6cf89728f1,weekday,214,10596.0
POI_IND_9999_0x3be7b9a839d54a31:0xa2b73f6cf89728f1,weekend,95,4784.0
POI_IND_9999_0x3be7c371eea5bfe5:0xa5792b0bd83e5cdd,weekday,50,1105.0
POI_IND_9999_0x3be7bbdfe2b98e37:0x8e7a793cd04a6607,weekday,113,6899.0
POI_IND_9999_0x3be7852a4072a809:0x1ca610ef9025a914,weekend,8,8.0
POI_IND_9999_0x3be79352cca43b4b:0x957547b0fa54d01f,weekday,157,5049.0
POI_IND_9999_0x3be7d1dc9f291335:0xa98b317ad41f9352,weekday,174,5830.0
POI_IND_9999_0x3be7d1dc9f291335:0xa98b317ad41f9352,weekend,31,759.0
POI_IND_9999_0x3be7d1c13c0ef937:0x30cfede9559a0db7,weekday,221,7562.0
POI_IND_9999_0x3be7aa288059f5e3:0xd5b653fc2cbabc8d,weekday,58,1351.0
POI_IND_9999_0x3be7aa288059f5e3:0xd5b653fc2cbabc8d,weekend,34,995.0
POI_IND_9999_0x3be7b85c433915b1:0x2469070a20f22cc6,weekend,113,5414.0
POI_IND_9999_0x3be7b10f10b8ef6d:0xa20e476739bac721,weekday,34,1510.0
POI_IND_9999_0x3be7b10f10b8ef6d:0xa20e476739bac721,weekend,24,1298.0
POI_IND_9999_0x3be7b7c4e7d752c7:0x47d97f6ac45f61b5,weekday,845,34127.0
POI_IND_9999_0x3be7b7c4e7d752c7:0x47d97f6ac45f61b5,weekend,457,18314.0
POI_IND_9999_0x3be7c87c55555555:0x4720c7587fd3e34,weekend,48,2775.0
POI_IND_9999_0x3be7c9007d1c1e9d:0x80c76a76602a24d6,weekend,96,3549.0
POI_IND_9999_0x3be7b97fd891be29:0x8d623f4a9654b966,weekend,14,803.0
POI_IND_9999_0x3be7d1c31474d0b3:0xc6a4c0da4ca73353,weekday,268,5647.0
POI_IND_9999_0x3be7d1da67679c35:0xc44096d9101d09c8,weekday,453,13737.0
POI_IND_9999_0x3be7b9e21e356c77:0x7aa21d50adaa0f5c,weekend,28,747.0
POI_IND_9999_0x3be7c17cac15aa57:0x26e477180ab16d57,weekend,1011,28294.0
POI_IND_9999_0x3be7c17cac15aa57:0x26e477180ab16d57,weekday,1920,49160.0
POI_IND_9999_0x3be795ca6cd64fff:0x6beac04d68a4a537,weekday,130,4493.0
POI_IND_9999_0x3be7d113c4fbac23:0x213026c1252e5bff,weekday,74,3008.0
POI_IND_9999_0x3be7b126cad90119:0xd70e9642abb69893,weekend,197,8063.0
POI_IND_9999_0x3be7b126cad90119:0xd70e9642abb69893,weekday,449,19048.0
POI_IND_9999_0x3be7949e3961e2f9:0x2856abe6f9da5e75,weekend,68,3933.0
POI_IND_9999_0x3be7b9b28db75669:0xd2775f79a6df85d3,weekend,127,4975.0
POI_IND_9999_0x3be7bb00512e347f:0x2f8a8a3f670d2ef,weekend,69,1994.0
POI_IND_9999_0x3be7bb00512e347f:0x2f8a8a3f670d2ef,weekday,163,3329.0
POI_IND_9999_0x3be79516dcba2bc5:0xeb25edcebf811989,weekday,87,3274.0
POI_IND_9999_0x3be7c0c504d81527:0xa7540bef39a52182,weekend,2,2.0
POI_IND_9999_0x3be7b940880cef0f:0x79f8d6da4c3d23e,weekend,142,6685.0
POI_IND_9999_0x3be79b549f67100f:0x972b49b1ac90eb9a,weekday,99,2997.0
POI_IND_9999_0x3be79b549f67100f:0x972b49b1ac90eb9a,weekend,20,869.0
POI_IND_9999_0x3be7d1c35c4fa691:0xc1ce95afc4fe5e3b,weekday,58,3333.0
POI_IND_9999_0x3be7c900c238ea01:0x321fbf7b9f200b8e,weekend,119,5101.0
POI_IND_9999_0x3be7b969b0ccfdc1:0xf1b6a4ce27897b1a,weekend,79,1702.0
POI_IND_9999_0x3be7b7a8ffdc7ea9:0x71ad31b973b7b95a,weekday,58,3088.0
POI_IND_9999_0x3be7c913086b5387:0x92fecf0ae6c51992,weekday,132,6270.0
POI_IND_9999_0x3be7a96c48346de9:0x61c09fc5ef252cb2,weekday,184,2034.0
POI_IND_9999_0x3be7b73d25d91db5:0x7be81e8c756523df,weekday,319,11570.0
POI_IND_9999_0x3be7c9075ca4405f:0x77920b6461aa6c96,weekday,128,4017.0
POI_IND_9999_0x3be7d1c06fffffff:0x375ff33a40669677,weekday,20,262.0
POI_IND_9999_0x3be7982101fe2bc5:0xc128f2742a14da2c,weekday,139,4997.0
POI_IND_9999_0x3be78584b9e57ccb:0xce11790a20db9e40,weekday,101,3267.0
POI_IND_9999_0x3be7c8e01d983e2f:0x8c21c577f5500826,weekday,150,4140.0
POI_IND_9999_0x3be7b64cb07a05dd:0x4c45ef2d2c6e1a70,weekday,131,6553.0
POI_IND_9999_0x3be7c816c187300d:0xca7e3d1ad60d8022,weekend,51,2635.0
POI_IND_9999_0x3be7c61e4cf6ac01:0xe6cd5b06827fa22,weekend,44,1387.0
POI_IND_9999_0x3be7c9b2e64cb2fd:0x37e2fd07d5930a79,weekend,68,1562.0
POI_IND_9999_0x3be7c833236a9813:0x62cf70c6a5bb0b06,weekend,58,3367.0
POI_IND_9999_0x3be7c8a645c07565:0x9617fecaf6c05090,weekend,385,15073.0
POI_IND_9999_0x3be7b7a84bc7bb29:0xd7df535480570426,weekday,154,5812.0
POI_IND_9999_0x3be7b7a84bc7bb29:0xd7df535480570426,weekend,91,3971.0
POI_IND_9999_0x3be7b622afffffff:0x363d9bb8e85550a4,weekday,166,2752.0
POI_IND_9999_0x3be7b874c2b9c043:0xeeb76b322653740d,weekend,153,5204.0
POI_IND_9999_0x3be7cef2f381a5fd:0x782a4e33b2538588,weekend,15,747.0
POI_IND_9999_0x3be7af9757d3963d:0x8f80ca142f5ca2f4,weekend,40,1486.0
POI_IND_9999_0x3be7b7cc5fd06251:0x33111ace810345a8,weekday,223,8806.0
POI_IND_9999_0x3be7b7c0ff4de383:0x82a240ef4c090f9c,weekday,101,3790.0
POI_IND_9999_0x3be7c900c542e3c1:0xa29698073a21da7f,weekend,594,25212.0
POI_IND_9999_0x3be7bbf82cb5251f:0xdc8ee80a7d8f875b,weekday,25,619.0
POI_IND_9999_0x3be7bbf82cb5251f:0xdc8ee80a7d8f875b,weekend,1,100.0
POI_IND_9999_0x3be7936664ce3dc3:0x882beea7bf3c0826,weekday,101,3260.0
POI_IND_9999_0x3be7936664ce3dc3:0x882beea7bf3c0826,weekend,26,1489.0
POI_IND_9999_0x3be7bf005667c8e3:0x5c6cb692963833f8,weekend,31,562.0
POI_IND_9999_0x3be7bf515fe5b349:0x8a5dfeae2fdc40e5,weekend,86,1523.0
POI_IND_9999_0x3be7b78d5aff42f9:0x77d449bcf17462fd,weekday,151,5221.0
POI_IND_9999_0x3be7b63e14ca5745:0xb77a42174dcd236f,weekday,40,2231.0
