h3index,district_code,wbi
89608b0b033ffff,IN.MH.MU,74.20900121
89608b0b397ffff,IN.MH.MU,77.5730167
89608b4423bffff,IN.MH.MU,56.46428545
89608b4615bffff,IN.MH.MU,72.90402135
89608b54893ffff,IN.MH.MU,72.05748327
89608b54c03ffff,IN.MH.MU,68.51526023
89608b55e9bffff,IN.MH.MU,65.64947237
89608b56843ffff,IN.MH.MU,63.21496183
89608b09693ffff,IN.MH.MU,73.88107881
89608b0b0b3ffff,IN.MH.MU,70.66903501
89608b0b627ffff,IN.MH.MU,72.98038944
89608b0b68fffff,IN.MH.MU,78.55596603
89608b1915bffff,IN.MH.MU,42.18029131
89608b1926bffff,IN.MH.MU,57.1451108
89608b1938bffff,IN.MH.MU,47.41799313
89608b19a8bffff,IN.MH.MU,65.62356542
89608b46143ffff,IN.MH.MU,72.55583349
89608b46307ffff,IN.MH.MU,75.14844133
89608b46953ffff,IN.MH.MU,47.31450473
89608b473abffff,IN.MH.MU,71.79115841
89608b5688fffff,IN.MH.MU,68.25484953
89608b09097ffff,IN.MH.MU,69.23621563
89608b096c3ffff,IN.MH.MU,73.51793161
89608b0b137ffff,IN.MH.MU,72.35782233
89608b0b223ffff,IN.MH.MU,67.00844967
89608b0b6b3ffff,IN.MH.MU,74.89674706
89608b4608fffff,IN.MH.MU,71.04554055
89608b471d3ffff,IN.MH.MU,63.30039527
89608b47567ffff,IN.MH.MU,62.72746361
89608b5482fffff,IN.MH.MU,70.96411978
89608b54adbffff,IN.MH.MU,54.56673259
89608b54cc3ffff,IN.MH.MU,66.8100103
89608b55077ffff,IN.MH.MU,63.37331712
89608b5516bffff,IN.MH.MU,69.86980362
89608b5516fffff,IN.MH.MU,68.03660921
89608b55d27ffff,IN.MH.MU,53.08281071
89608b55e17ffff,IN.MH.MU,56.86086497
89608b092b7ffff,IN.MH.MU,71.91238503
89608b09623ffff,IN.MH.MU,70.16014518
89608b0b24fffff,IN.MH.MU,64.3116608
89608b0b36fffff,IN.MH.MU,69.72133351
89608b4401bffff,IN.MH.MU,67.61208453
89608b4452fffff,IN.MH.MU,61.09818138
89608b4468bffff,IN.MH.MU,70.77697308
89608b450d7ffff,IN.MH.MU,54.03650432
89608b4600fffff,IN.MH.MU,72.375682
