poi_code,cost_for_two
0x3be7d1c137810ea3:0x21384737f2ec91e2,"₹5,000 for two"
0x3be7ce8c350898ed:0x664c7200a24a00a9,"₹3,500 for two"
0x3be7c93af994a663:0x25357c252a027c10,"₹4,500 for two"
0x3be7d133bcdff0af:0x136da8532944a4a5,"₹3,500 for two"
0x3be7ce8fb09e4355:0x37c7f4de8506d6dd,"₹7,000 for two"
0x3be7c93d17e2e4a5:0x62f92678f8dbb1a8,"₹7,500 for two"
0x3be7c96f0849c345:0x6e0276cc57b4b0ab,"₹3,500 for two"
0x3be7cfabb5b216cb:0xf5aa0727aafd6725,"₹3,000 for two"
0x3be7c9006d491371:0x582d2165770bf1f8,"₹10,000 for two"
0x3be7cebb41f0f65f:0x2fb44c7d9345d17e,"₹4,800 for two"
0x3be7cf866d1aafe5:0xc3097c165aaa87b2,"₹2,000 for two"
0x3be7b7a8ffdc7ea9:0x745ef84d7f68a893,"₹7,000 for two"
0x3be7cfb88df09ee1:0x11ca986d2de3e906,"₹3,500 for two"
0x3be7c94f0d61c165:0x9312b811d94e292,"₹5,000 for two"
0x3be7c9b5c5fd1f3b:0x18393cc90ffc197b,"₹3,800 for two"
0x3be7c85bdab95dbb:0x3691c3dcd4c789d7,"₹3,000 for two"
0x3be7c91ce6da3fbb:0xc46789d1437f3f52,"₹3,200 for two"
0x3be7c8e7f9f0767f:0x7416ff01ce7ad4b5,"₹3,000 for two"
0x3be7d1b53dfd1fa9:0x67de7b0987abe5b2,"₹3,000 for two"
0x3be7b800f4feb829:0xc22a08b554d81cb,"₹4,000 for two"
0x3be7cf00751a73c9:0x35eed3d996945988,"₹6,000 for two"
0x3be7cf0cd60ae15f:0x296137b7089a70ec,"₹7,000 for two"
0x3be7d1c0c4cf4d33:0x70831adaa329edc7,"₹6,000 for two"
0x3be7ceecd4d810c3:0x4baf5e380e9ebd0b,"₹3,500 for two"
0x3be7ce8c74290311:0xa3efe60241d20473,"₹5,000 for two"
0x3be7cf71b5829a9b:0x653dc382ca438bb9,"₹3,000 for two"
0x3be7d12e6b476353:0x4d716f978f966b15,"₹4,000 for two"
0x3be7c8eea60334d5:0xd477fb50f4f5ff2a,"₹5,000 for two"
0x3be7c8eeb56d45e3:0xde8b96bdf6311473,"₹4,500 for two"
0x3be7cf9d2a9cee07:0x85aec37b12cab58a,"₹2,200 for two"
0x3be7d1c0c4d0db9b:0xf32fe7c1b525748d,"₹6,000 for two"
0x3be7c97c13d1e693:0x314f1bab417e8c9b,"₹3,500 for two"
0x3be7ce8b78ac3db9:0x395ad82b0a483225,
0x3be7b8005f95e93f:0xca157d53047d1614,"₹5,000 for two"
0x3be7c9167cb85df3:0x97b7b798b39b0879,"₹5,000 for two"
0x3be7c9182c920e5f:0xf7912509065991d0,"₹5,000 for two"
0x3be7c852830023b1:0x8e730e970d732319,"₹5,000 for two"
0x3be7c8fe202a2443:0x6ee359458d28ed34,"₹5,500 for two"
0x3be7cf9cd097cf95:0xc361a2144a7d6c6f,"₹5,000 for two"
0x3be7cf84b1c72e51:0x1cb97cac4c056b3a,"₹3,500 for two"
0x3be7d18724562e99:0xc62853e20cf144ef,"₹4,500 for two"
0x3be7c98c8d8c3247:0x13861a5b69cc7173,"₹8,000 for two"
0x3be7b80066555555:0x635775c7ea818457,"₹3,000 for two"
0x3be7c8528dec3899:0x9d2e341eb8d2776,"₹5,000 for two"
0x3be7d1c0c646461b:0x1e163d22b32c8adb,"₹5,000 for two"
0x3be7cf06d05d215b:0x7c6bd19ead7cb238,"₹4,000 for two"
0x3be7d1181c1e4d4f:0x7e3b9b02fc07b727,"₹2,000 for two"
0x3be7cfedee68b285:0x4470fc434e2a1b02,"₹3,500 for two"
0x3be7d1c3068bf0e5:0xd5a3edef65c4dd4d,"₹11,000 for two"
0x3be7d1c0d0b708f5:0x75777d4fe303ae6d,"₹5,500 for two"
0x3be7d1c0c8c9afa3:0xbe4f5b2ec61408f4,"₹5,000 for two"
