feature,spearman_rho,abs_rho,p_value,significant,reliable
cost_food,0.692,0.692,0.0,True,True
is_low_price,-0.6792,0.6792,0.0,True,True
cost_both,0.6789,0.6789,0.0,True,True
log_cost,0.6789,0.6789,0.0,True,True
restaurant_segment_ord,0.6662,0.6662,0.0,True,True
upscale_x_price,0.616,0.616,0.0,True,True
premium_place_x_price,0.58,0.58,0.0,True,True
is_high_price,0.5766,0.5766,0.0,True,True
rating_x_upscale,0.57,0.57,0.0,True,True
score,0.5622,0.5622,0.0,True,True
parking__has_parking_valet,0.5487,0.5487,0.0,True,True
luxury_x_price,0.5291,0.5291,0.0,True,True
experience_words,0.5182,0.5182,0.0,True,True
premium_place,0.4906,0.4906,0.0,True,True
atmosphere__feels_cozy,0.4818,0.4818,0.0,True,True
atmosphere__feels_romantic,0.4808,0.4808,0.0,True,True
chef_x_price,0.464,0.464,0.0,True,True
luxury_words,0.4591,0.4591,0.0,True,True
planning__requires_reservations,0.4433,0.4433,0.0,True,True
social_proof_score,0.4416,0.4416,0.0,True,True
is_very_low_price,-0.438,0.438,0.0,True,True
premium_spirit_flag,0.4378,0.4378,0.0,True,True
planning__recommends_reservations_dinner,0.4289,0.4289,0.0,True,True
dining_price_num,0.4279,0.4279,0.0,True,True
atmosphere__feels_hip,0.4193,0.4193,0.0,True,True
chef_mentions,0.415,0.415,0.0,True,True
ambiance_x_price,0.4044,0.4044,0.0,True,True
brands_x_upscale,0.3988,0.3988,0.0,True,True
max_drink_price_avg,0.3863,0.3863,0.0,True,True
planning__recommends_reservations_lunch,0.3831,0.3831,0.0,True,True
has_domain,0.3748,0.3748,0.0,True,True
ambiance_quality,0.3738,0.3738,0.0,True,True
ratings,0.3645,0.3645,0.0,True,True
is_very_high_price,0.3611,0.3611,0.0,True,True
premium_brand_count,0.3561,0.3561,0.0,True,True
sb_rating,0.3331,0.3331,0.0,True,True
positive_ratio,0.3277,0.3277,0.0,True,True
is_5star_hotel,0.3214,0.3214,0.0,True,True
social_media_score,0.3188,0.3188,0.0,True,True
hotel_x_price,0.3108,0.3108,0.0,True,True
planning__accepts_reservations,0.31,0.31,0.0,True,True
avg_review_length,0.3086,0.3086,0.0,True,True
hotel_stars,0.3018,0.3018,0.0,True,True
chef_x_5star,0.3003,0.3003,0.0,True,True
offerings__serves_happy_hour_drinks,0.2869,0.2869,0.0,True,True
reviews_count,0.2751,0.2751,0.0,True,True
avg_atmosphere_aspect,0.2738,0.2738,0.0,True,True
wine_item_price_avg,0.2727,0.2727,0.0,True,True
atmosphere__feels_quiet,0.2704,0.2704,0.0,True,True
rum_item_price_avg,0.2701,0.2701,0.0,True,True
other_cocktails_item_price_avg,0.2628,0.2628,0.0,True,True
offerings__has_private_dining_room,0.2576,0.2576,0.0,True,True
sb_review_vibe,0.2409,0.2409,0.0,True,True
amenities__has_bar_onsite,0.2138,0.2138,0.0,True,True
prem_brands_x_hotel,0.2138,0.2138,0.0,True,True
brandy_item_price_avg,0.2114,0.2114,0.0,True,True
avg_service_aspect,0.2085,0.2085,0.0,True,True
beer_item_price_avg,0.2036,0.2036,0.0,True,True
highlights__has_seating_rooftop,0.1955,0.1955,0.0,True,False
gin_item_count,0.1869,0.1869,0.0,True,False
avg_food_aspect,0.1857,0.1857,0.0,True,False
offerings__serves_wine,0.1819,0.1819,0.0,True,False
mojito_item_price_avg,0.1808,0.1808,0.0,True,False
gin_item_price_avg,0.1713,0.1713,0.0,True,False
offerings__serves_happy_hour_food,0.1667,0.1667,0.0,True,False
highlights__has_live_music,0.1596,0.1596,0.0,True,False
wine_item_count,0.1579,0.1579,0.0,True,False
time_spent_mins,0.157,0.157,0.0,True,False
michelin_x_price,0.1412,0.1412,0.0,True,False
michelin_star,0.1411,0.1411,0.0,True,False
rum_item_count,0.1389,0.1389,0.0,True,False
martini_item_price_avg,0.1376,0.1376,0.0,True,False
beer_item_count,-0.1305,0.1305,0.0,True,False
other_item_price_avg,0.1153,0.1153,0.0,True,False
tequila_item_count,0.1115,0.1115,0.0,True,False
has_any_award,0.1057,0.1057,0.0,True,False
offerings__has_dancing,0.099,0.099,0.0,True,False
whisky_item_count,0.0977,0.0977,0.0,True,False
old_fashioned_item_price_avg,0.0958,0.0958,0.0,True,False
feni_item_count,0.0949,0.0949,0.0,True,False
offerings__serves_late_night_food,0.0815,0.0815,0.0002,True,False
brandy_item_count,0.0728,0.0728,0.0008,True,False
highlights__has_karaoke_nights,0.0676,0.0676,0.0019,True,False
picante_item_count,0.0665,0.0665,0.0022,True,False
highlights__has_fast_service,0.0664,0.0664,0.0023,True,False
negative_words,-0.0658,0.0658,0.0025,True,False
feni_item_price_avg,0.065,0.065,0.0028,True,False
atmosphere__feels_casual,-0.0648,0.0648,0.0029,True,False
sb_premium_spirit,-0.0594,0.0594,0.0063,True,False
atmosphere__is_recently_popular,0.0577,0.0577,0.008,True,False
martini_item_count,0.0541,0.0541,0.0128,True,False
picante_item_price_avg,0.0527,0.0527,0.0153,True,False
sb_neg_review,-0.0506,0.0506,0.0199,True,False
highlights__has_bar_games,0.0459,0.0459,0.0346,True,False
sb_menu_volume,-0.0382,0.0382,0.0791,False,False
drink_to_food_ratio,0.0251,0.0251,0.2485,False,False
other_item_count,0.0212,0.0212,0.3302,False,False
weekday_visits,0.0155,0.0155,0.4764,False,False
other_cocktails_item_count,0.0128,0.0128,0.5564,False,False
