feature,ks_statistic,ks_pvalue,shift_flagged,lab_mean,lab_std,unlab_mean,unlab_std,mean_diff_pct,mainstream_mean,mainstream_std,premium_mean,premium_std,super_premium_mean,super_premium_std
domain_score_clean,0.5421,0.0,True,5.739,6.9079,-1.868,3.8411,132.5,0.5061,4.7079,6.9597,4.8423,12.7113,5.5686
cost_both,0.5316,0.0,True,4081.7887,3149.2393,1223.4332,1433.3447,70.0,1949.3351,1862.2763,4399.0319,2516.093,7199.8626,2960.887
log_cost,0.5316,0.0,True,7.6636,1.9759,5.9254,2.5629,22.7,6.4726,2.6269,8.2457,0.5337,8.7831,0.4749
sb_price,0.5283,0.0,True,3.9829,2.5245,1.2299,1.5219,69.1,1.8293,1.3995,4.4564,1.7816,6.8969,1.4394
is_low_price,0.5226,0.0,True,0.2244,0.4172,0.747,0.4347,232.9,0.5122,0.4999,0.0403,0.1966,0.0206,0.1421
restaurant_segment_ord,0.5002,0.0,True,1.7146,0.9995,0.5659,0.7285,67.0,0.9329,0.842,2.0805,0.7283,2.4742,0.6274
cost_food,0.4465,0.0,True,2704.6341,1632.7003,1324.7244,885.1481,51.0,1587.8049,680.009,2726.1745,1179.6596,4559.7938,1672.3747
score,0.4311,0.0,True,0.4931,0.1535,0.3159,0.1551,35.9,0.3903,0.1368,0.5381,0.1108,0.5977,0.1309
luxury_x_price,0.4115,0.0,True,8802.2182,15929.6395,1015.5204,4087.5529,88.5,1476.0028,3787.9779,8124.0963,12517.4958,22230.4602,23148.4358
experience_words,0.3907,0.0,True,9.339,6.4008,4.4168,4.5061,52.7,6.5061,5.269,11.1611,6.6374,11.3299,5.9944
upscale_x_price,0.382,0.0,True,2608.7802,3284.0854,439.5218,1251.4284,83.2,659.4926,1360.5444,3050.4733,2830.1466,5226.006,4071.8435
is_very_low_price,0.3741,0.0,True,0.0878,0.283,0.4619,0.4985,426.1,0.2195,0.4139,0.0,0.0,0.0,0.0
atmosphere__feels_cozy,0.3614,0.0,True,0.7073,0.455,0.3459,0.4757,51.1,0.5122,0.4999,0.8188,0.3852,0.866,0.3407
rating_x_upscale,0.342,0.0,True,2.3363,2.1482,0.8454,1.6795,63.8,1.0957,1.8143,3.151,1.9189,3.1825,1.9866
max_drink_price_avg,0.3352,0.0,True,10164.5503,151260.5396,231.6985,1147.9542,97.7,1157.3513,6663.265,23423.5243,250177.14,5026.3392,7634.9382
parking__has_parking_valet,0.315,0.0,True,0.4585,0.4983,0.1436,0.3507,68.7,0.1585,0.3652,0.6577,0.4745,0.6598,0.4738
luxury_words,0.3143,0.0,True,1.6171,2.2872,0.4843,1.2014,70.1,0.5793,1.1476,1.8121,2.2055,3.0722,2.9013
is_high_price,0.3142,0.0,True,0.3415,0.4742,0.0273,0.1629,92.0,0.0671,0.2501,0.3423,0.4745,0.8041,0.3969
luxury_brand_count,0.3139,0.0,True,3.3073,4.561,0.4961,2.0071,85.0,1.6951,3.2729,3.8658,4.654,5.1753,5.309
offerings__serves_wine,0.3119,0.0,True,0.9439,0.2301,0.632,0.4823,33.0,0.878,0.3272,0.9933,0.0816,0.9794,0.1421
planning__recommends_reservations_dinner,0.3108,0.0,True,0.5,0.5,0.1892,0.3917,62.2,0.2927,0.455,0.6174,0.486,0.6701,0.4702
premium_brand_count,0.3105,0.0,True,13.639,21.6795,2.5276,10.773,81.5,8.4512,19.1891,15.2685,21.5623,19.9072,23.6853
offerings__serves_happy_hour_drinks,0.3097,0.0,True,0.5171,0.4997,0.2073,0.4054,59.9,0.4268,0.4946,0.6107,0.4876,0.5258,0.4993
chef_x_price,0.309,0.0,True,6285.9862,15488.1555,503.4007,2642.8661,92.0,747.1998,2995.6311,4145.5558,6920.1107,18938.4101,26574.7389
premium_spirit_flag,0.3067,0.0,True,0.3634,0.481,0.0567,0.2313,84.4,0.2073,0.4054,0.443,0.4967,0.5052,0.5
planning__accepts_reservations,0.2957,0.0,True,0.922,0.2682,0.6262,0.4838,32.1,0.8415,0.3652,0.9799,0.1405,0.9691,0.1731
dining_price_num,0.2941,0.0,True,1099.4394,327.5874,815.5859,352.2525,25.8,903.2375,282.4874,1177.3314,248.2285,1311.5137,323.49
social_proof_score,0.2911,0.0,True,8.2927,5.1888,5.1932,4.7768,37.4,6.1402,4.9224,9.8926,4.7191,9.4742,5.0464
amenities__has_bar_onsite,0.288,0.0,True,0.661,0.4734,0.373,0.4836,43.6,0.561,0.4963,0.7114,0.4531,0.7526,0.4315
planning__requires_reservations,0.2873,0.0,True,0.3707,0.483,0.0835,0.2766,77.5,0.1159,0.32,0.5101,0.4999,0.5876,0.4923
atmosphere__feels_romantic,0.2867,0.0,True,0.378,0.4849,0.0913,0.2881,75.8,0.122,0.3272,0.4564,0.4981,0.6907,0.4622
premium_place_x_price,0.2854,0.0,True,1885.2564,2976.7285,311.1641,1036.71,83.5,149.4083,604.5568,2873.3573,2732.8704,3302.2877,4094.0071
atmosphere__feels_hip,0.2848,0.0,True,0.7829,0.4123,0.4982,0.5,36.4,0.5976,0.4904,0.8993,0.3009,0.9175,0.2751
positive_ratio,0.2818,0.0,True,0.5267,0.3792,0.3349,0.3259,36.4,0.3399,0.3405,0.6416,0.3564,0.6658,0.3436
avg_review_length,0.269,0.0,True,353.3686,260.5819,240.7849,193.156,31.9,285.6897,256.3934,385.6474,257.7165,418.2118,245.5522
chef_mentions,0.259,0.0,True,1.0659,2.037,0.252,0.7421,76.4,0.2683,0.6448,1.0738,1.8792,2.4021,2.924
premium_place,0.2374,0.0,True,0.4049,0.4909,0.1675,0.3734,58.6,0.122,0.3272,0.6779,0.4673,0.4639,0.4987
has_domain,0.2138,0.0,True,0.4293,0.495,0.2155,0.4112,49.8,0.2988,0.4577,0.4564,0.4981,0.6082,0.4881
ratings,0.2134,0.0,True,4.2327,0.3468,4.0644,0.4623,4.0,4.072,0.3754,4.3013,0.2667,4.399,0.2866
planning__recommends_reservations_lunch,0.2059,0.0,True,0.3366,0.4725,0.1307,0.3371,61.2,0.1829,0.3866,0.443,0.4967,0.433,0.4955
reviews_count,0.2014,0.0,True,1563.0951,2680.098,896.1299,1690.9801,42.7,1436.061,3232.8338,1840.1275,2335.5207,1352.3299,2030.3508
brands_x_upscale,0.2009,0.0,True,8.3951,17.9812,1.1047,8.5522,86.8,2.5244,8.3873,11.1812,20.6225,14.0412,22.1885
social_media_score,0.1996,0.0,False,1.0634,1.7309,0.5837,1.3328,45.1,0.6829,1.2235,1.5839,2.2941,0.9072,1.1673
ambiance_x_price,0.1943,0.0,False,2335.6836,6132.3078,249.8668,1364.0093,89.3,391.714,1906.1541,2351.2653,5435.851,5598.4602,9506.9687
avg_atmosphere_aspect,0.1875,0.0,False,4.3907,0.5615,4.0835,0.8215,7.0,4.1884,0.6818,4.529,0.4473,4.5205,0.3521
ambiance_quality,0.1828,0.0,False,0.4244,0.9055,0.1005,0.417,76.3,0.122,0.4099,0.5436,0.9932,0.7526,1.1756
offerings__serves_happy_hour_food,0.1806,0.0,False,0.3098,0.4624,0.1291,0.3353,58.3,0.2561,0.4365,0.3356,0.4722,0.3608,0.4802
offerings__has_private_dining_room,0.1792,0.0,False,0.2805,0.4492,0.1013,0.3017,63.9,0.1463,0.3534,0.2953,0.4562,0.4845,0.4998
sb_rating,0.1772,0.0,False,0.9756,0.9076,0.5239,1.0995,46.3,0.5183,1.0562,1.1812,0.5914,1.433,0.6566
rum_item_price_avg,0.1702,0.0,False,1826.8432,1535.9054,1486.5933,379.5022,18.6,1324.4475,528.3895,1740.7636,1182.3876,2808.4798,2439.2157
other_cocktails_item_price_avg,0.1665,0.0,False,681.3399,256.1879,622.7645,129.1622,8.6,598.5829,186.5754,684.5475,238.8773,816.332,317.9459
sb_review_vibe,0.1569,0.0,False,1.939,0.2393,1.7822,0.4128,8.1,1.872,0.3341,1.9732,0.1616,2.0,0.0
avg_service_aspect,0.1565,0.0,False,4.3321,0.6068,4.0858,0.8232,5.7,4.1262,0.7732,4.4665,0.4034,4.4736,0.4199
beer_item_price_avg,0.1563,0.0,False,816.8265,4075.2462,570.1817,126.3772,30.2,1065.9568,6417.2479,620.7016,262.3593,696.8807,536.0369
highlights__has_seating_rooftop,0.1512,0.0,False,0.2268,0.4188,0.0756,0.2643,66.7,0.1646,0.3709,0.2416,0.4281,0.3093,0.4622
highlights__has_live_music,0.1492,0.0,False,0.2951,0.4561,0.1459,0.353,50.6,0.2744,0.4462,0.302,0.4591,0.3196,0.4663
other_item_price_avg,0.1455,0.0,False,1093.4732,1719.6794,725.3027,357.8955,33.7,775.5775,608.2582,1072.6887,1321.9456,1662.8733,2948.6065
offerings__serves_late_night_food,0.1449,0.0,False,0.5512,0.4974,0.4063,0.4911,26.3,0.5976,0.4904,0.5101,0.4999,0.5361,0.4987
gin_item_count,0.1448,0.0,False,11.1683,5.6593,10.7987,2.5102,3.3,9.9512,3.9645,11.5369,5.4889,12.6598,7.5885
atmosphere__feels_quiet,0.1428,0.0,False,0.2927,0.455,0.1499,0.3569,48.8,0.1524,0.3594,0.3289,0.4698,0.4742,0.4993
wine_item_count,0.1412,0.0,False,17.4927,13.7304,14.7391,3.1369,15.7,13.9085,5.6145,16.3221,8.5415,25.3505,23.3649
brandy_item_price_avg,0.1381,0.0,False,1452.2745,2156.6409,1036.1091,563.8472,28.7,1038.2143,834.4857,1286.4508,1452.1966,2407.054,3741.4987
tequila_item_count,0.1366,0.0,False,7.7488,5.1041,6.9478,1.5826,10.3,6.8293,1.7271,7.2819,3.9461,10.0206,8.6155
drink_to_food_ratio,0.136,0.0,False,1.2689,0.6684,1.1942,0.6523,5.9,1.247,0.6213,1.3168,0.8206,1.2324,0.4421
tequila_item_price_avg,0.1331,0.0,False,1909.7502,3525.3455,1303.0829,567.4821,31.8,1381.0858,1248.8019,2117.5866,4219.5226,2484.3204,4655.7801
hotel_stars,0.1325,0.0,False,0.7073,1.7057,0.0648,0.5151,90.8,0.1585,0.7566,0.094,0.5716,2.5773,2.4988
other_cocktails_item_count,0.1321,0.0,False,15.2098,7.7378,14.1378,4.5783,7.0,15.5305,8.2162,15.5839,8.5335,14.0928,5.0443
